iteration,test_acc,actions
0,0.31018679059790866,"[[[0.         0.         0.97402649 0.02597351 0.        ]
  [0.         0.31479008 0.68520992 0.         0.        ]
  [0.         0.30338375 0.69661625 0.         0.        ]
  [0.         0.13006223 0.4501807  0.41975707 0.        ]
  [0.17294675 0.28682928 0.24133294 0.00113015 0.29776088]]]"
1,0.31018679059790866,"[[[0.         0.         1.         0.         0.        ]
  [0.         0.48859829 0.26590274 0.         0.24549897]
  [0.         1.         0.         0.         0.        ]
  [0.40856786 0.         0.08264453 0.50878761 0.        ]
  [0.         0.27334514 0.19883288 0.         0.52782198]]]"
2,0.43839277862186077,"[[[0.         0.         1.         0.         0.        ]
  [0.         0.48940783 0.26759191 0.         0.24300026]
  [0.         1.         0.         0.         0.        ]
  [0.40945857 0.         0.0826888  0.50785263 0.        ]
  [0.         0.27300589 0.19910952 0.         0.52788458]]]"
3,0.41061778532487264,"[[[0.         0.         1.         0.         0.        ]
  [0.         0.49080101 0.2692797  0.         0.2399193 ]
  [0.         1.         0.         0.         0.        ]
  [0.40930509 0.         0.08169998 0.50899492 0.        ]
  [0.         0.27288302 0.19923421 0.         0.52788277]]]"
4,0.2664853695593887,"[[[0.         0.         1.         0.         0.        ]
  [0.         0.49232291 0.27070386 0.         0.23697322]
  [0.         1.         0.         0.         0.        ]
  [0.40921069 0.         0.08048421 0.5103051  0.        ]
  [0.         0.27274434 0.19935289 0.         0.52790278]]]"
5,0.22946865671641792,"[[[0.         0.         1.         0.         0.        ]
  [0.         0.49386481 0.27203053 0.         0.23410466]
  [0.         1.         0.         0.         0.        ]
  [0.40903713 0.         0.07924452 0.51171835 0.        ]
  [0.         0.27253819 0.1995048  0.         0.527957  ]]]"
6,0.2032,"[[[0.         0.         1.         0.         0.        ]
  [0.         0.49556226 0.27323101 0.         0.23120674]
  [0.         1.         0.         0.         0.        ]
  [0.40865147 0.         0.07780463 0.51354391 0.        ]
  [0.         0.27226447 0.1996858  0.         0.52804974]]]"
7,0.2032,"[[[0.         0.         1.         0.         0.        ]
  [0.         0.49731445 0.27432446 0.         0.22836108]
  [0.         1.         0.         0.         0.        ]
  [0.40833187 0.         0.07633128 0.51533684 0.        ]
  [0.         0.27192866 0.19989811 0.         0.52817323]]]"
8,0.2032,"[[[0.         0.         1.         0.         0.        ]
  [0.         0.49931029 0.27519725 0.         0.22549246]
  [0.         1.         0.         0.         0.        ]
  [0.40779138 0.         0.07456667 0.51764194 0.        ]
  [0.         0.27146325 0.20016957 0.         0.52836718]]]"
9,0.2032,"[[[0.         0.         1.         0.         0.        ]
  [0.         0.50149127 0.27577222 0.         0.22273651]
  [0.         1.         0.         0.         0.        ]
  [0.40749369 0.         0.07259077 0.51991553 0.        ]
  [0.         0.270928   0.20046681 0.         0.52860519]]]"
10,0.2032,"[[[0.         0.         1.         0.         0.        ]
  [0.         0.50426185 0.2760475  0.         0.21969065]
  [0.         1.         0.         0.         0.        ]
  [0.40663293 0.         0.07001629 0.52335078 0.        ]
  [0.         0.270095   0.20091171 0.         0.52899329]]]"
11,0.2032,"[[[0.         0.         1.         0.         0.        ]
  [0.         0.50745304 0.27605493 0.         0.21649203]
  [0.         1.         0.         0.         0.        ]
  [0.40560522 0.         0.06695686 0.52743792 0.        ]
  [0.         0.26912107 0.20141469 0.         0.52946424]]]"
