iteration,test_acc,actions
104,0.86,"[[[0. 0.]
  [0. 0.]]]"
105,0.8565,"[[[0. 0.]
  [0. 0.]]]"
106,0.8505,"[[[0. 0.]
  [0. 0.]]]"
107,0.862,"[[[0. 0.]
  [0. 0.]]]"
108,0.854,"[[[0. 0.]
  [0. 0.]]]"
109,0.8380000000000001,"[[[0. 0.]
  [0. 0.]]]"
110,0.849,"[[[0. 0.]
  [0. 0.]]]"
111,0.8565,"[[[0. 0.]
  [0. 0.]]]"
112,0.873,"[[[0. 0.]
  [0. 0.]]]"
113,0.819,"[[[0. 0.]
  [0. 0.]]]"
114,0.8725,"[[[0. 0.]
  [0. 0.]]]"
115,0.7585,"[[[0. 0.]
  [0. 0.]]]"
116,0.875,"[[[0. 0.]
  [0. 0.]]]"
117,0.8560000000000001,"[[[0. 0.]
  [0. 0.]]]"
118,0.8605,"[[[0. 0.]
  [0. 0.]]]"
119,0.87,"[[[0. 0.]
  [0. 0.]]]"
120,0.871,"[[[0. 0.]
  [0. 0.]]]"
121,0.8565,"[[[0. 0.]
  [0. 0.]]]"
122,0.871,"[[[0. 0.]
  [0. 0.]]]"
123,0.821,"[[[0. 0.]
  [0. 0.]]]"
124,0.877,"[[[0. 0.]
  [0. 0.]]]"
125,0.868,"[[[0. 0.]
  [0. 0.]]]"
126,0.87,"[[[0. 0.]
  [0. 0.]]]"
127,0.865,"[[[0. 0.]
  [0. 0.]]]"
128,0.8560000000000001,"[[[0. 0.]
  [0. 0.]]]"
129,0.8674999999999999,"[[[0. 0.]
  [0. 0.]]]"
130,0.868,"[[[0. 0.]
  [0. 0.]]]"
131,0.851,"[[[0. 0.]
  [0. 0.]]]"
132,0.862,"[[[0. 0.]
  [0. 0.]]]"
133,0.878,"[[[0. 0.]
  [0. 0.]]]"
134,0.8465,"[[[0. 0.]
  [0. 0.]]]"
135,0.862,"[[[0. 0.]
  [0. 0.]]]"
136,0.875,"[[[0. 0.]
  [0. 0.]]]"
137,0.8694999999999999,"[[[0. 0.]
  [0. 0.]]]"
138,0.87,"[[[0. 0.]
  [0. 0.]]]"
139,0.868,"[[[0. 0.]
  [0. 0.]]]"
140,0.8725,"[[[0. 0.]
  [0. 0.]]]"
141,0.858,"[[[0. 0.]
  [0. 0.]]]"
142,0.8665,"[[[0. 0.]
  [0. 0.]]]"
143,0.8775,"[[[0. 0.]
  [0. 0.]]]"
144,0.867,"[[[0. 0.]
  [0. 0.]]]"
