iteration,actions,rewards,test_acc
0,"[[0.         0.         0.25       0.5        0.25      ]
 [0.         0.         0.66666667 0.         0.33333333]
 [0.33333333 0.         0.         0.33333333 0.33333333]
 [0.2        0.4        0.4        0.         0.        ]
 [0.25       0.         0.25       0.5        0.        ]]",-11.38055397325808,0.2997464451156695
1,"[[0.         0.33333333 0.16666667 0.33333333 0.16666667]
 [0.16666667 0.         0.33333333 0.16666667 0.33333333]
 [0.5        0.         0.         0.5        0.        ]
 [0.4        0.4        0.2        0.         0.        ]
 [0.         0.4        0.4        0.2        0.        ]]",-11.383456795459036,0.2997464451156695
2,"[[0.         0.5        0.         0.         0.5       ]
 [0.4        0.         0.2        0.2        0.2       ]
 [0.33333333 0.         0.         0.33333333 0.33333333]
 [0.33333333 0.         0.33333333 0.         0.33333333]
 [0.         0.25       0.25       0.5        0.        ]]",-11.312053263760186,0.2997464451156695
3,"[[0.         0.33333333 0.33333333 0.         0.33333333]
 [0.2        0.         0.2        0.4        0.2       ]
 [0.16666667 0.16666667 0.         0.33333333 0.33333333]
 [0.         0.2        0.4        0.         0.4       ]
 [0.5        0.         0.         0.         0.        ]]",-11.253385810844891,0.2997464451156695
4,"[[0.         0.         0.         0.5        0.5       ]
 [0.         0.         0.66666667 0.         0.33333333]
 [0.4        0.4        0.         0.2        0.        ]
 [0.28571429 0.14285714 0.28571429 0.         0.28571429]
 [0.25       0.25       0.5        0.         0.        ]]",-11.383901075557903,0.2997464451156695
5,"[[0.         0.         0.         0.5        0.        ]
 [0.25       0.         0.25       0.25       0.25      ]
 [0.4        0.2        0.         0.2        0.2       ]
 [0.25       0.5        0.25       0.         0.        ]
 [0.         0.66666667 0.33333333 0.         0.        ]]",-11.320974492453956,0.2997464451156695
6,"[[0.         0.         0.33333333 0.33333333 0.33333333]
 [0.4        0.         0.         0.4        0.2       ]
 [0.         0.5        0.         0.         0.        ]
 [0.         0.66666667 0.         0.         0.33333333]
 [0.28571429 0.14285714 0.28571429 0.28571429 0.        ]]",-11.261693481031482,0.2997464451156695
7,"[[0.         0.         0.25       0.5        0.25      ]
 [0.         0.         0.33333333 0.66666667 0.        ]
 [0.14285714 0.28571429 0.         0.28571429 0.28571429]
 [0.25       0.25       0.25       0.         0.25      ]
 [0.         0.33333333 0.66666667 0.         0.        ]]",-11.380131680686194,0.2997464451156695
8,"[[0.         0.66666667 0.33333333 0.         0.        ]
 [0.         0.         0.         0.5        0.5       ]
 [0.         0.5        0.         0.5        0.        ]
 [0.33333333 0.16666667 0.16666667 0.         0.33333333]
 [0.4        0.2        0.         0.4        0.        ]]",-11.317053450979627,0.2997464451156695
9,"[[0.         0.33333333 0.         0.33333333 0.33333333]
 [0.33333333 0.         0.         0.33333333 0.33333333]
 [0.4        0.2        0.         0.4        0.        ]
 [0.4        0.2        0.         0.         0.4       ]
 [0.33333333 0.16666667 0.33333333 0.16666667 0.        ]]",-11.25623860305494,0.2997464451156695
10,"[[0.         0.66666667 0.33333333 0.         0.        ]
 [0.5        0.         0.         0.         0.5       ]
 [0.66666667 0.         0.         0.         0.33333333]
 [0.25       0.25       0.         0.         0.5       ]
 [0.28571429 0.28571429 0.14285714 0.28571429 0.        ]]",-11.380936013112912,0.2997464451156695
11,"[[0.         0.         0.25       0.5        0.25      ]
 [0.4        0.         0.4        0.         0.2       ]
 [0.33333333 0.33333333 0.         0.         0.33333333]
 [0.         0.33333333 0.33333333 0.         0.33333333]
 [0.14285714 0.28571429 0.28571429 0.28571429 0.        ]]",-11.381877474741893,0.2997464451156695
12,"[[0.         0.4        0.2        0.4        0.        ]
 [0.28571429 0.         0.14285714 0.28571429 0.28571429]
 [0.         0.         0.         0.33333333 0.66666667]
 [0.25       0.25       0.25       0.         0.25      ]
 [0.33333333 0.33333333 0.33333333 0.         0.        ]]",-11.314822568191781,0.2997464451156695
13,"[[0.         0.25       0.5        0.         0.25      ]
 [0.         0.         0.         0.66666667 0.33333333]
 [0.28571429 0.28571429 0.         0.28571429 0.14285714]
 [0.         0.66666667 0.33333333 0.         0.        ]
 [0.33333333 0.         0.33333333 0.33333333 0.        ]]",-11.256431344214144,0.2997464451156695
14,"[[0.         0.         0.33333333 0.33333333 0.33333333]
 [0.         0.         0.         0.66666667 0.33333333]
 [0.2        0.2        0.         0.2        0.4       ]
 [0.5        0.         0.5        0.         0.        ]
 [0.33333333 0.33333333 0.         0.33333333 0.        ]]",-11.381308940867402,0.2997464451156695
15,"[[0.         0.5        0.         0.5        0.        ]
 [0.2        0.         0.4        0.         0.4       ]
 [0.2        0.4        0.         0.2        0.2       ]
 [0.16666667 0.33333333 0.16666667 0.         0.33333333]
 [0.66666667 0.33333333 0.         0.         0.        ]]",-11.321931551777206,0.2997464451156695
16,"[[0.  1.  0.  0.  0. ]
 [0.4 0.  0.  0.4 0.2]
 [0.  0.5 0.  0.  0.5]
 [0.  0.  0.5 0.  0.5]
 [0.  0.  0.5 0.  0. ]]",-11.238464359084407,0.2997464451156695
