iteration,actions,rewards,test_acc
0,"[[0.         0.4210295  0.21541339 0.3490053  0.01455181]
 [0.43919176 0.         0.27269932 0.1019303  0.18617863]
 [0.22841841 0.13211052 0.         0.24364894 0.39582212]
 [0.2736183  0.31692179 0.11647959 0.         0.29298032]
 [0.23341655 0.28028815 0.1069307  0.3793646  0.        ]]",-11.431144650383395,0.28973151775514927
1,"[[0.         0.43315869 0.21671723 0.0486066  0.30151749]
 [0.17477592 0.         0.26667527 0.20269173 0.35585708]
 [0.19510797 0.60991409 0.         0.08192167 0.11305627]
 [0.17587005 0.16172379 0.09162636 0.         0.5707798 ]
 [0.26591338 0.15447546 0.25492976 0.3246814  0.        ]]",-11.430950587146633,0.29304244836745136
2,"[[0.         0.57929303 0.17069353 0.14378829 0.10622515]
 [0.12900104 0.         0.23391104 0.30354582 0.33354209]
 [0.552058   0.03182037 0.         0.01967458 0.39644705]
 [0.54893717 0.03268965 0.35749831 0.         0.06087487]
 [0.19195103 0.18753839 0.30446705 0.31604353 0.        ]]",-11.375762536038867,0.29790834740803557
3,"[[0.         0.29477426 0.25517188 0.23103404 0.21901982]
 [0.17227128 0.         0.1643586  0.53403464 0.05588765]
 [0.22630011 0.27255094 0.         0.26715805 0.2339909 ]
 [0.31998773 0.05324027 0.32426947 0.         0.30250253]
 [0.36735774 0.12527156 0.21815614 0.28921456 0.        ]]",-11.317825058666434,0.29790834740803557
4,"[[0.         0.18519423 0.26483358 0.28897678 0.2609954 ]
 [0.29242588 0.         0.22698735 0.2035236  0.27706317]
 [0.12080521 0.03594461 0.         0.14414381 0.69910637]
 [0.3807128  0.26920788 0.22117746 0.         0.12890186]
 [0.32736826 0.07805636 0.38938204 0.20519334 0.        ]]",-11.428268655821366,0.29470506198709095
5,"[[0.         0.34543203 0.09719864 0.44249192 0.11487741]
 [0.19106105 0.         0.24656174 0.35573031 0.20664689]
 [0.0867661  0.23465298 0.         0.33586578 0.34271514]
 [0.17300202 0.40108509 0.40321445 0.         0.02269844]
 [0.12144663 0.41387258 0.31525403 0.14942676 0.        ]]",-11.37023089676648,0.29790834740803557
6,"[[0.         0.1018723  0.34898329 0.32155271 0.22759169]
 [0.17565293 0.         0.31078675 0.33169294 0.18186738]
 [0.16418126 0.44120223 0.         0.15048837 0.24412814]
 [0.29968445 0.24876223 0.15064542 0.         0.3009079 ]
 [0.3258259  0.29595493 0.24372389 0.13449529 0.        ]]",-11.315679650371141,0.29790834740803557
7,"[[0.         0.26201736 0.09439531 0.33623673 0.3073506 ]
 [0.3187566  0.         0.04086788 0.3661651  0.27421043]
 [0.42288903 0.48807135 0.         0.05785054 0.03118907]
 [0.26879825 0.37853127 0.08549729 0.         0.26717318]
 [0.3165754  0.18305991 0.23774157 0.26262312 0.        ]]",-11.435515799178734,0.2819908753880763
8,"[[0.         0.60357637 0.1032445  0.08886517 0.20431396]
 [0.13897192 0.         0.12461528 0.61963826 0.11677454]
 [0.12145962 0.19178427 0.         0.460684   0.22607211]
 [0.45691803 0.26514725 0.22586225 0.         0.05207246]
 [0.42768619 0.11409855 0.06575369 0.39246156 0.        ]]",-11.376062728979207,0.29790834740803557
9,"[[0.         0.47808294 0.15177748 0.06468087 0.30545871]
 [0.26625462 0.         0.06210365 0.32553505 0.34610668]
 [0.3101884  0.28972288 0.         0.30910638 0.09098234]
 [0.54564056 0.02568957 0.11995523 0.         0.30871464]
 [0.20986655 0.314839   0.18750518 0.28778927 0.        ]]",-11.320934689009153,0.2985909412646908
