iteration,test_acc,test_acc_per_agent
0,0.2631476407061413,"[0.0, 0.0, 0.42662116040955633, 0.4862422997946612, 0.4028747433264887]"
1,0.3907178495329975,"[0.07508532423208192, 0.3820801826223427, 0.4812286689419795, 0.5080082135523614, 0.5071868583162218]"
2,0.5068064279916052,"[0.5392491467576792, 0.49835925238978457, 0.4812286689419795, 0.5080082135523614, 0.5071868583162218]"
