iteration,actions,rewards,test_acc
0,"[[0.         0.04693356 0.18844307 0.40713521 0.35748816]
 [0.33166166 0.         0.2002281  0.09261141 0.37549882]
 [0.22046299 0.3190996  0.         0.15207277 0.30836464]
 [0.38581375 0.13189227 0.04680158 0.         0.4354924 ]
 [0.32652516 0.27740595 0.17683462 0.21923427 0.        ]]",-11.65270743631386,0.0
1,"[[0.         0.04896544 0.11589169 0.37188663 0.46325624]
 [0.31732795 0.         0.34482444 0.32261629 0.01523133]
 [0.33692327 0.31658712 0.         0.22663365 0.11985595]
 [0.13452001 0.35237504 0.16725072 0.         0.34585424]
 [0.0858888  0.21567262 0.24927217 0.44916641 0.        ]]",-11.652748581418045,0.0
2,"[[0.         0.22156306 0.38589565 0.16199397 0.23054732]
 [0.30009054 0.         0.11612522 0.30533302 0.27845122]
 [0.31772511 0.25674312 0.         0.33050205 0.09502971]
 [0.0728559  0.220735   0.56852049 0.         0.1378886 ]
 [0.06951592 0.18283042 0.33257058 0.41508308 0.        ]]",-11.591604615868748,0.0
3,"[[0.         0.17019788 0.25220584 0.2920073  0.28558898]
 [0.31270362 0.         0.18433676 0.25072323 0.25223639]
 [0.29964466 0.26754633 0.         0.27082835 0.16198067]
 [0.00772906 0.22582785 0.54924413 0.         0.21719896]
 [0.02844976 0.53583747 0.26473318 0.17097959 0.        ]]",-11.534746353511697,0.0
4,"[[0.         0.29038597 0.14594474 0.37897868 0.18469061]
 [0.43558332 0.         0.27302174 0.13181542 0.15957952]
 [0.01087893 0.56020814 0.         0.19112913 0.2377838 ]
 [0.03563936 0.05999048 0.42118649 0.         0.48318366]
 [0.33254134 0.44060003 0.02386599 0.20299263 0.        ]]",-11.652382788500628,0.0
5,"[[0.         0.29575002 0.25224983 0.40015379 0.05184636]
 [0.23959913 0.         0.4257541  0.0621398  0.27250697]
 [0.5057759  0.27208386 0.         0.04441517 0.17772508]
 [0.09250523 0.07368909 0.30639419 0.         0.52741149]
 [0.27224385 0.16125858 0.06465099 0.50184658 0.        ]]",-11.593684879294386,0.0
6,"[[0.         0.23108497 0.27744367 0.1188017  0.37266966]
 [0.2689569  0.         0.00424206 0.37077558 0.35602546]
 [0.25916407 0.34750348 0.         0.1336461  0.25968634]
 [0.11096442 0.33533648 0.29418206 0.         0.25951705]
 [0.34804526 0.06237512 0.51758627 0.07199336 0.        ]]",-11.537769235540797,0.0
7,"[[0.         0.03387688 0.50533027 0.34520759 0.11558526]
 [0.33148426 0.         0.11072602 0.09866665 0.45912307]
 [0.21511201 0.34012448 0.         0.36075659 0.08400692]
 [0.26280142 0.07173792 0.32885381 0.         0.33660685]
 [0.02069902 0.42472901 0.4220761  0.13249588 0.        ]]",-11.652151265158668,0.0
8,"[[0.         0.28099163 0.26264353 0.28625484 0.17011   ]
 [0.08618308 0.         0.52634956 0.06245076 0.3250166 ]
 [0.20722582 0.07085134 0.         0.41012915 0.31179369]
 [0.32963384 0.32219888 0.00629779 0.         0.34186948]
 [0.085251   0.35025415 0.33011859 0.23437626 0.        ]]",-11.592089577981302,0.0
9,"[[0.         0.2433542  0.25069636 0.20689008 0.29905936]
 [0.03772427 0.         0.06161261 0.43481809 0.46584503]
 [0.43013841 0.35641408 0.         0.20202663 0.01142088]
 [0.18981061 0.43396533 0.08047737 0.         0.29574669]
 [0.22285839 0.29935339 0.20759623 0.27019199 0.        ]]",-11.536517553358108,0.0
10,"[[0.         0.23002062 0.1849848  0.56850155 0.01649303]
 [0.01726525 0.         0.43244465 0.20636974 0.34392035]
 [0.30800681 0.23024946 0.         0.27049799 0.19124574]
 [0.40374138 0.02218434 0.38427041 0.         0.18980387]
 [0.53149095 0.01096548 0.07555962 0.38198395 0.        ]]",-11.653067648446594,0.0
11,"[[0.         0.41728015 0.1044832  0.04801023 0.43022643]
 [0.08373988 0.         0.31732902 0.         0.21409622]
 [0.         0.         0.         0.         0.        ]
 [0.         0.         0.10890455 0.         0.        ]
 [0.         0.         0.         0.88704908 0.        ]]",-11.62836054420328,0.0
12,"[[0.         0.92969555 0.         0.         0.        ]
 [0.         0.         0.35859057 0.24182579 0.2045923 ]
 [0.         0.03485724 0.         0.         0.44160625]
 [0.         0.         1.         0.         0.        ]
 [0.52065653 0.         0.         0.         0.        ]]",-11.58283552085315,0.0
13,"[[0.         0.51304112 0.48695888 0.         0.        ]
 [0.         0.         0.         0.         0.        ]
 [0.         0.16367549 0.         0.83632451 0.        ]
 [0.57099829 0.07403989 0.         0.         0.35496182]
 [0.35856136 0.37313945 0.2682992  0.         0.        ]]",-11.52323818310603,0.0
14,"[[0.         0.         0.         0.         0.        ]
 [0.83400561 0.         0.         0.16599439 0.        ]
 [0.         0.         0.         0.         0.19063979]
 [0.         0.42382896 0.         0.         0.52163917]
 [0.         0.         0.         1.         0.        ]]",-11.610065033915523,0.0
15,"[[0.         0.88144242 0.         0.         0.11855758]
 [0.30513823 0.         0.         0.         0.        ]
 [0.29204914 0.         0.         0.70795086 0.        ]
 [0.         0.47958692 0.52041308 0.         0.        ]
 [0.36806017 0.         0.25400561 0.37793422 0.        ]]",-11.59030917002274,0.0
16,"[[0.         0.         0.09132813 0.65192688 0.        ]
 [0.         0.         0.73203593 0.2536073  0.        ]
 [0.3674137  0.         0.         0.6325863  0.        ]
 [0.57056375 0.42943625 0.         0.         0.        ]
 [0.50570971 0.         0.37470353 0.         0.        ]]",-11.564814087256297,0.0
