iteration,test_acc,test_acc_per_agent
0,0.11661113875437132,"[0.0, 0.0, 0.23890784982935154, 0.11991786447638604, 0.22422997946611908]"
1,0.292025705895957,"[0.0, 0.0, 0.4880546075085324, 0.47145790554414785, 0.5006160164271047]"
2,0.3014090587353092,"[0.0, 0.0, 0.5017064846416383, 0.4948665297741273, 0.5104722792607803]"
