iteration,test_acc,actions
0,0.38973130753418533,"[[[0.         1.         0.         0.         0.        ]
  [1.         0.         0.         0.         0.        ]
  [0.         0.         1.         0.         0.        ]
  [0.         0.01017449 0.26045311 0.72937241 0.        ]
  [0.26049742 0.66885747 0.         0.07064511 0.        ]]]"
1,0.2928119760479042,"[[[0.         0.         0.         0.         1.        ]
  [0.         1.         0.         0.         0.        ]
  [0.         0.         1.         0.         0.        ]
  [0.         0.41581938 0.         0.50359821 0.08058241]
  [0.19193549 0.61205444 0.05013722 0.14587285 0.        ]]]"
2,0.2012,"[[[0.         0.2192506  0.08910824 0.17949583 0.51214532]
  [0.         1.         0.         0.         0.        ]
  [1.         0.         0.         0.         0.        ]
  [0.         0.31651729 0.06342241 0.6200603  0.        ]
  [0.2342708  0.65704718 0.         0.10868202 0.        ]]]"
3,0.19939701492537315,"[[[0.         0.         0.08694248 0.32787234 0.58518518]
  [0.         1.         0.         0.         0.        ]
  [1.         0.         0.         0.         0.        ]
  [0.         0.10795384 0.08979266 0.55414534 0.24810815]
  [0.14959309 0.72319415 0.05997054 0.06724222 0.        ]]]"
4,0.19939701492537315,"[[[0.         0.         0.07508445 0.33462258 0.59029297]
  [0.         1.         0.         0.         0.        ]
  [1.         0.         0.         0.         0.        ]
  [0.         0.0928487  0.07887075 0.53827422 0.29000633]
  [0.1342116  0.72544346 0.07589486 0.06445008 0.        ]]]"
5,0.1988,"[[[0.         0.         0.04916702 0.39186015 0.55897284]
  [0.         1.         0.         0.         0.        ]
  [1.         0.         0.         0.         0.        ]
  [0.         0.         0.1427781  0.41081953 0.44640237]
  [0.06740882 0.77950869 0.11756818 0.03551431 0.        ]]]"
6,0.2012,"[[[0.         0.         0.09494836 0.31635045 0.58870119]
  [0.         1.         0.         0.         0.        ]
  [1.         0.         0.         0.         0.        ]
  [0.         0.16382269 0.07500923 0.56966203 0.19150605]
  [0.1591083  0.70483325 0.05569814 0.08036031 0.        ]]]"
7,0.1988,"[[[0.         0.         0.08008578 0.32924587 0.59066835]
  [0.         1.         0.         0.         0.        ]
  [1.         0.         0.         0.         0.        ]
  [0.         0.09870734 0.06897935 0.53503112 0.29728219]
  [0.12556207 0.72357947 0.08413793 0.06672052 0.        ]]]"
8,0.2012,"[[[0.         0.         0.08492154 0.3270003  0.58807816]
  [0.         1.         0.         0.         0.        ]
  [1.         0.         0.         0.         0.        ]
  [0.         0.10629432 0.0846603  0.54944167 0.2596037 ]
  [0.14163935 0.72128227 0.06706817 0.07001021 0.        ]]]"
9,0.2076,"[[[0.         0.         0.08992382 0.3215627  0.58851349]
  [0.         1.         0.         0.         0.        ]
  [1.         0.         0.         0.         0.        ]
  [0.         0.12721954 0.0582341  0.54657968 0.26796668]
  [0.12795385 0.71866825 0.07881284 0.07456506 0.        ]]]"
10,0.1924,"[[[0.         0.         0.08217936 0.33563304 0.5821876 ]
  [0.         1.         0.         0.         0.        ]
  [1.         0.         0.         0.         0.        ]
  [0.         0.07104615 0.09767027 0.53589271 0.29539086]
  [0.13208898 0.72956623 0.07247101 0.06587378 0.        ]]]"
11,0.1924,"[[[0.         0.         0.09217263 0.31790544 0.58992193]
  [0.         1.         0.         0.         0.        ]
  [1.         0.         0.         0.         0.        ]
  [0.         0.15057701 0.05066293 0.55153465 0.24722541]
  [0.13331134 0.7113869  0.07702219 0.07827957 0.        ]]]"
12,0.1988,"[[[0.         0.         0.08234673 0.32402475 0.59362852]
  [0.         1.         0.         0.         0.        ]
  [1.         0.         0.         0.         0.        ]
  [0.         0.11647336 0.09287622 0.55623025 0.23442017]
  [0.15104898 0.71567874 0.05952112 0.07375116 0.        ]]]"
13,0.2012,"[[[0.         0.         0.08543286 0.32803342 0.58653372]
  [0.         1.         0.         0.         0.        ]
  [1.         0.         0.         0.         0.        ]
  [0.         0.1007638  0.07366482 0.54135505 0.28421632]
  [0.12910416 0.72419774 0.07752108 0.06917702 0.        ]]]"
14,0.1988,"[[[0.         0.         0.08369428 0.32363423 0.5926715 ]
  [0.         1.         0.         0.         0.        ]
  [1.         0.         0.         0.         0.        ]
  [0.         0.11647339 0.08657447 0.55301332 0.24393882]
  [0.14474669 0.71676592 0.06398818 0.0744992  0.        ]]]"
15,0.2012,"[[[0.         0.         0.0790317  0.31911837 0.60184994]
  [0.         1.         0.         0.         0.        ]
  [1.         0.         0.         0.         0.        ]
  [0.         0.13772229 0.09368887 0.56134116 0.20724768]
  [0.15758483 0.70645151 0.05598855 0.07997511 0.        ]]]"
16,0.2076,"[[[0.         0.         0.0779018  0.31817616 0.60392204]
  [0.         1.         0.         0.         0.        ]
  [1.         0.         0.         0.         0.        ]
  [0.         0.14357939 0.09090871 0.56098639 0.20452552]
  [0.15646892 0.70436703 0.05708894 0.08207511 0.        ]]]"
17,0.1924,"[[[0.         0.         0.07541404 0.31813971 0.60644625]
  [0.         1.         0.         0.         0.        ]
  [1.         0.         0.         0.         0.        ]
  [0.         0.14083801 0.09829492 0.56213238 0.19873469]
  [0.16109418 0.70318264 0.05411077 0.0816124  0.        ]]]"
