iteration,test_acc
0,0.002
1,0.006
2,0.012
3,0.0195
4,0.037
5,0.0475
6,0.052
7,0.0905
8,0.11
9,0.1265
10,0.1625
11,0.174
12,0.21
13,0.225
14,0.233
15,0.2445
16,0.248
17,0.2495
18,0.25
19,0.25
20,0.25
21,0.2505
22,0.25
23,0.2495
24,0.25
25,0.2505
26,0.25
27,0.2505
28,0.25
29,0.25
30,0.2505
31,0.2515
32,0.251
33,0.2535
34,0.2535
35,0.2525
36,0.255
37,0.2565
38,0.255
39,0.2575
40,0.258
41,0.2565
42,0.254
43,0.2575
44,0.259
45,0.2575
46,0.2595
47,0.26
48,0.257
49,0.257
50,0.257
51,0.258
52,0.2615
53,0.262
54,0.2595
55,0.262
56,0.258
57,0.258
58,0.2615
59,0.262
60,0.266
61,0.2695
62,0.281
63,0.29200000000000004
64,0.303
65,0.3105
66,0.318
67,0.3185
68,0.343
69,0.336
70,0.3435
71,0.34950000000000003
72,0.346
73,0.34199999999999997
74,0.352
75,0.3635
76,0.3895
77,0.39
78,0.4105
79,0.40149999999999997
80,0.391
81,0.382
82,0.38949999999999996
83,0.391
84,0.376
85,0.385
86,0.4105
87,0.43100000000000005
88,0.4455
89,0.4285
90,0.46599999999999997
91,0.4175
92,0.4565
93,0.45699999999999996
94,0.4165
95,0.42300000000000004
96,0.45099999999999996
97,0.414
98,0.443
99,0.4085
100,0.332
101,0.35650000000000004
102,0.35450000000000004
103,0.368
104,0.3925
105,0.313
106,0.369
107,0.339
108,0.342
109,0.35050000000000003
110,0.3715
111,0.3855
112,0.4405
113,0.47950000000000004
114,0.49250000000000005
115,0.49550000000000005
116,0.5095000000000001
117,0.5045
118,0.484
119,0.506
120,0.34850000000000003
121,0.5105
122,0.511
123,0.501
124,0.501
125,0.509
126,0.507
127,0.513
128,0.5135000000000001
129,0.507
130,0.511
131,0.5115000000000001
132,0.5015000000000001
133,0.514
134,0.5115000000000001
135,0.482
136,0.512
137,0.5075000000000001
138,0.4435
139,0.5065
140,0.4335
141,0.3005
142,0.512
143,0.497
144,0.515
145,0.525
146,0.5660000000000001
147,0.5145
148,0.5165
149,0.562
150,0.558
151,0.556
152,0.489
153,0.484
154,0.4885
155,0.512
156,0.5615
157,0.484
158,0.516
159,0.51
160,0.5860000000000001
161,0.5115000000000001
162,0.579
163,0.516
164,0.5635
165,0.516
166,0.5075000000000001
167,0.5295000000000001
168,0.5105
169,0.563
170,0.5295000000000001
171,0.486
172,0.5609999999999999
173,0.5665
174,0.579
175,0.5615
176,0.6639999999999999
177,0.5565
178,0.502
179,0.5605
180,0.513
181,0.654
182,0.5169999999999999
183,0.5805
184,0.513
185,0.587
186,0.5645
187,0.5814999999999999
188,0.514
189,0.486
190,0.514
191,0.5885
192,0.484
193,0.673
194,0.486
195,0.5215000000000001
196,0.4865
197,0.5760000000000001
198,0.513
199,0.53
200,0.486
201,0.5835
202,0.484
203,0.516
204,0.5615
205,0.5445
206,0.5205
207,0.516
208,0.556
209,0.588
210,0.6935
211,0.506
212,0.514
213,0.5405
214,0.514
215,0.499
216,0.5485
217,0.5925
218,0.516
219,0.484
220,0.6060000000000001
221,0.5569999999999999
222,0.516
223,0.5565
224,0.5215000000000001
225,0.558
226,0.5920000000000001
227,0.484
228,0.539
229,0.5745
230,0.6055
231,0.6245
232,0.5945
233,0.484
234,0.599
235,0.4885
236,0.53
237,0.5900000000000001
238,0.637
239,0.6479999999999999
240,0.5755
241,0.516
242,0.524
243,0.6145
244,0.484
245,0.516
246,0.484
247,0.516
248,0.484
249,0.516
