iteration,actions,rewards,test_acc
0,"[[0.         0.24158319 0.17918968 0.31193749 0.26728964]
 [0.02635556 0.         0.41646722 0.16459574 0.39258148]
 [0.46760373 0.1790766  0.         0.24657371 0.10674597]
 [0.09519128 0.05120596 0.71523744 0.         0.13836533]
 [0.4923285  0.03924624 0.33589654 0.13252871 0.        ]]",-11.458941996025969,0.0
1,"[[0.         0.25309657 0.34044903 0.20535053 0.20110388]
 [0.21006943 0.         0.30068404 0.26268582 0.22656071]
 [0.04019395 0.1711947  0.         0.55028266 0.22059199]
 [0.16272871 0.35850362 0.09928565 0.         0.37948202]
 [0.05792295 0.1644944  0.37550926 0.17260344 0.        ]]",-11.453496452208396,0.0
2,"[[0.         0.31370731 0.29574312 0.07478868 0.31576089]
 [0.26768216 0.         0.31747809 0.14563699 0.26920275]
 [0.38426057 0.198736   0.         0.29459156 0.12241187]
 [0.23314626 0.3223942  0.22185914 0.         0.22260039]
 [0.03284337 0.5279568  0.24133104 0.19786878 0.        ]]",-11.401870956041432,0.0
3,"[[0.         0.38592365 0.12683725 0.1356541  0.35158499]
 [0.33374391 0.         0.155438   0.06461063 0.44620745]
 [0.33624822 0.03624725 0.         0.4554117  0.17209283]
 [0.13146218 0.41912591 0.33461328 0.         0.11479862]
 [0.61945784 0.05729393 0.16917766 0.15407056 0.        ]]",-11.347713936807157,0.03072237206478068
4,"[[0.         0.13326489 0.003456   0.42001061 0.4432685 ]
 [0.26198467 0.         0.35036227 0.03138523 0.35626783]
 [0.00206794 0.19905771 0.         0.41884028 0.38003407]
 [0.32493473 0.19705527 0.14741062 0.         0.33059938]
 [0.09034737 0.36744889 0.18386107 0.35834267 0.        ]]",-11.45576150642859,0.0
5,"[[0.         0.2520928  0.05307849 0.38812676 0.30670195]
 [0.0954846  0.         0.44446287 0.37573001 0.08432252]
 [0.29221545 0.12610923 0.         0.05909889 0.52257643]
 [0.16347026 0.2761987  0.20746283 0.         0.35286821]
 [0.09458206 0.42339091 0.21965246 0.26237458 0.        ]]",-11.400101211156931,0.0
6,"[[0.         0.04115825 0.41572728 0.25451387 0.2886006 ]
 [0.04423232 0.         0.22386117 0.43478601 0.2971205 ]
 [0.37826439 0.02787825 0.         0.15645146 0.35890512]
 [0.36324523 0.18321915 0.41897394 0.         0.03456168]
 [0.09226158 0.51627117 0.16159858 0.22986866 0.        ]]",-11.345359573493134,0.0010967401742528172
7,"[[0.         0.13986838 0.23622197 0.3944513  0.22945835]
 [0.03250525 0.         0.28435699 0.41695425 0.26618351]
 [0.13005471 0.44314712 0.         0.28842151 0.13837666]
 [0.27034158 0.10704204 0.20646306 0.         0.41615332]
 [0.16689494 0.51918409 0.24779472 0.06612625 0.        ]]",-11.459828174221624,0.0
8,"[[0.         0.17052964 0.32471602 0.09248775 0.41226659]
 [0.24319315 0.         0.23136225 0.2576619  0.2677827 ]
 [0.17914044 0.12589382 0.         0.34111323 0.35385251]
 [0.13158205 0.52336454 0.21463094 0.         0.13042247]
 [0.28939723 0.54105564 0.16826191 0.00128523 0.        ]]",-11.40466109879382,8.5604223141675e-05
9,"[[0.         0.30727234 0.274038   0.11201261 0.30667705]
 [0.2164802  0.         0.59044749 0.14116072 0.05191158]
 [0.32277909 0.14258298 0.         0.21145421 0.32318372]
 [0.27011887 0.23837472 0.44660462 0.         0.04490179]
 [0.20765091 0.14795496 0.38458471 0.25980941 0.        ]]",-11.346190698118182,0.01001612093583628
10,"[[0.         0.25744603 0.28628326 0.30575278 0.15051793]
 [0.2150609  0.         0.33207125 0.03101302 0.42185483]
 [0.15754128 0.30689154 0.         0.33743841 0.19812877]
 [0.30918973 0.32707773 0.27034011 0.         0.09339244]
 [0.00736187 0.46020496 0.11132689 0.42110628 0.        ]]",-11.458933609455555,0.0
11,"[[0.         0.         0.         0.         0.        ]
 [0.         0.         1.         0.         0.        ]
 [0.42221769 0.15746496 0.         0.42031735 0.        ]
 [0.32847067 0.32847067 0.20647224 0.         0.13658643]
 [0.         0.         0.75450242 0.         0.        ]]",-11.45055178915774,0.0
12,"[[0.         0.         0.18822045 0.50948338 0.30229618]
 [0.         0.         0.95353174 0.04646826 0.        ]
 [0.         0.         0.         1.         0.        ]
 [0.         0.         0.5        0.         0.5       ]
 [0.31967177 0.         0.68032823 0.         0.        ]]",-11.396572342255451,0.0
13,"[[0.         0.5488205  0.         0.09573387 0.35544563]
 [0.         0.         0.         0.         0.02588772]
 [0.         0.55309256 0.         0.         0.44690744]
 [0.         0.51566724 0.48433276 0.         0.        ]
 [0.         0.22484646 0.1633746  0.61177894 0.        ]]",-11.34027787643868,0.11395421878355327
14,"[[0.00000000e+00 0.00000000e+00 2.51733291e-01 7.48266709e-01
  0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 4.61526103e-02
  1.85354846e-04]
 [3.62237633e-01 0.00000000e+00 0.00000000e+00 1.61006956e-01
  4.76755411e-01]
 [0.00000000e+00 4.37076284e-01 4.37076284e-01 0.00000000e+00
  1.25847432e-01]
 [0.00000000e+00 0.00000000e+00 5.00000000e-01 5.00000000e-01
  0.00000000e+00]]",-11.439830104903773,2.8534741047224996e-05
15,"[[0.         0.52154855 0.         0.47845145 0.        ]
 [0.         0.         0.         0.28362402 0.        ]
 [0.43294332 0.         0.         0.13411336 0.43294332]
 [0.         0.         0.3292425  0.         0.52670008]
 [0.         0.50664556 0.36364501 0.12970944 0.        ]]",-11.400985791554323,0.0053292767903967446
16,"[[0.         0.31558321 0.31558321 0.17570989 0.1931237 ]
 [0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         1.        ]
 [0.         0.39133467 0.18522712 0.         0.42343821]
 [0.         1.         0.         0.         0.        ]]",-11.370941200163273,0.1995873662190543
