iteration,actions,rewards,test_acc
0,"[[0.   0.4  0.2  0.   0.4 ]
 [0.25 0.   0.5  0.   0.25]
 [0.   0.5  0.   0.5  0.  ]
 [0.4  0.2  0.2  0.   0.2 ]
 [0.25 0.25 0.5  0.   0.  ]]",-11.512537868499756,0.19686776859504135
1,"[[0.         0.14285714 0.28571429 0.28571429 0.28571429]
 [0.5        0.         0.         0.         0.        ]
 [0.4        0.2        0.         0.         0.4       ]
 [0.         0.         0.         0.         1.        ]
 [0.         0.66666667 0.         0.33333333 0.        ]]",-11.512260332107543,0.2001603305785124
2,"[[0.         0.5        0.         0.         0.5       ]
 [0.         0.         0.         0.         0.5       ]
 [0.33333333 0.16666667 0.         0.16666667 0.33333333]
 [0.33333333 0.33333333 0.33333333 0.         0.        ]
 [0.         0.4        0.2        0.4        0.        ]]",-11.459187112808227,0.20057355371900826
3,"[[0.         0.25       0.5        0.         0.25      ]
 [0.         0.         0.         1.         0.        ]
 [0.66666667 0.         0.         0.33333333 0.        ]
 [0.         0.5        0.5        0.         0.        ]
 [0.5        0.         0.5        0.         0.        ]]",-11.405819744110108,0.20057355371900826
4,"[[0.         0.         1.         0.         0.        ]
 [0.33333333 0.         0.33333333 0.         0.33333333]
 [0.28571429 0.14285714 0.         0.28571429 0.28571429]
 [0.         0.33333333 0.33333333 0.         0.33333333]
 [0.         0.5        0.         0.5        0.        ]]",-11.51111220741272,0.19441487603305785
5,"[[0.         0.33333333 0.33333333 0.         0.33333333]
 [0.28571429 0.         0.28571429 0.28571429 0.14285714]
 [0.4        0.2        0.         0.2        0.2       ]
 [0.4        0.         0.4        0.         0.2       ]
 [0.5        0.25       0.25       0.         0.        ]]",-11.4536015625,0.2001603305785124
6,"[[0.         0.14285714 0.28571429 0.28571429 0.28571429]
 [0.28571429 0.         0.28571429 0.14285714 0.28571429]
 [0.25       0.         0.         0.25       0.5       ]
 [0.25       0.25       0.25       0.         0.25      ]
 [0.2        0.4        0.         0.4        0.        ]]",-11.394525796890258,0.20057355371900826
7,"[[0.         0.2        0.4        0.         0.4       ]
 [0.66666667 0.         0.         0.         0.33333333]
 [0.2        0.2        0.         0.2        0.4       ]
 [0.         0.         0.5        0.         0.5       ]
 [0.33333333 0.         0.         0.66666667 0.        ]]",-11.500526475906371,0.19625454545454546
8,"[[0.         0.5        0.5        0.         0.        ]
 [0.33333333 0.         0.33333333 0.         0.33333333]
 [0.         0.33333333 0.         0.         0.66666667]
 [0.         0.         0.         0.         1.        ]
 [0.66666667 0.         0.33333333 0.         0.        ]]",-11.449338935852051,0.2001603305785124
9,"[[0.   0.4  0.   0.4  0.2 ]
 [0.25 0.   0.   0.5  0.25]
 [0.2  0.   0.   0.4  0.4 ]
 [0.   0.5  0.   0.   0.5 ]
 [0.   0.   1.   0.   0.  ]]",-11.382848329544068,0.20057355371900826
10,"[[0.         0.33333333 0.33333333 0.33333333 0.        ]
 [0.         0.         0.33333333 0.33333333 0.33333333]
 [0.         0.66666667 0.         0.33333333 0.        ]
 [0.         0.5        0.         0.         0.5       ]
 [0.         0.33333333 0.33333333 0.33333333 0.        ]]",-11.510296600341796,0.19872066115702477
11,"[[0.   0.   0.   1.   0.  ]
 [0.5  0.   0.   0.5  0.  ]
 [0.25 0.25 0.   0.   0.5 ]
 [0.4  0.4  0.   0.   0.2 ]
 [0.2  0.   0.4  0.4  0.  ]]",-11.510162099838256,0.18969586776859504
12,"[[0.         0.16666667 0.33333333 0.33333333 0.16666667]
 [0.33333333 0.         0.33333333 0.16666667 0.16666667]
 [0.2        0.4        0.         0.         0.4       ]
 [0.2        0.2        0.2        0.         0.4       ]
 [0.5        0.         0.5        0.         0.        ]]",-11.453883981704713,0.2001603305785124
13,"[[0.         0.         0.4        0.4        0.2       ]
 [0.         0.         0.4        0.4        0.2       ]
 [0.         1.         0.         0.         0.        ]
 [0.25       0.5        0.         0.         0.25      ]
 [0.28571429 0.28571429 0.28571429 0.14285714 0.        ]]",-11.403256910324096,0.20057355371900826
14,"[[0.         0.25       0.25       0.         0.5       ]
 [0.28571429 0.         0.28571429 0.28571429 0.14285714]
 [0.         0.         0.         0.33333333 0.66666667]
 [0.         0.33333333 0.33333333 0.         0.33333333]
 [0.5        0.         0.5        0.         0.        ]]",-11.505539770126344,0.19028264462809918
15,"[[0.         0.33333333 0.         0.33333333 0.33333333]
 [0.2        0.         0.4        0.         0.4       ]
 [0.         0.         0.         1.         0.        ]
 [0.33333333 0.16666667 0.16666667 0.         0.33333333]
 [0.4        0.         0.4        0.2        0.        ]]",-11.445545734405517,0.19974710743801655
16,"[[0.         0.33333333 0.16666667 0.16666667 0.33333333]
 [0.         0.         0.         0.5        0.5       ]
 [0.5        0.25       0.         0.25       0.        ]
 [1.         0.         0.         0.         0.        ]
 [0.         0.33333333 0.66666667 0.         0.        ]]",-11.395484121322632,0.20057355371900826
