iteration,test_acc,actions
0,0.3024924678170365,"[[[0.00310613 0.00976298 0.         0.00437113 0.00905092 0.
   0.         0.0032201  0.         0.        ]
  [0.         0.00024419 0.         0.         0.         0.00291102
   0.         0.00213079 0.         0.00434513]
  [0.0008261  0.         0.00560665 0.00422718 0.         0.00682274
   0.00584172 0.00044818 0.         0.        ]
  [0.         0.         0.00366022 0.         0.         0.
   0.         0.00578799 0.         0.        ]
  [0.00556847 0.00139466 0.         0.         0.00098299 0.00077755
   0.00156325 0.         0.00191987 0.0064882 ]
  [0.00216431 0.         0.         0.00182606 0.00121369 0.
   0.         0.         0.         0.        ]
  [0.         0.00474551 0.         0.         0.00204356 0.00239555
   0.00260624 0.00334725 0.         0.        ]
  [0.         0.         0.00072149 0.00273178 0.00486011 0.01365328
   0.00646692 0.00412872 0.         0.00890465]
  [0.00101641 0.0045529  0.         0.         0.00012638 0.
   0.00030741 0.         0.00310138 0.00143987]
  [0.         0.         0.00113105 0.00206894 0.         0.00144704
   0.         0.0043258  0.         0.01300883]]]"
1,0.34908244316625575,"[[[0.         0.         0.         0.02318717 0.09385654 0.
   0.         0.08337403 0.         0.04320789]
  [0.         0.         0.00728441 0.         0.         0.
   0.         0.20901051 0.10876153 0.06346504]
  [0.10302048 0.         0.1962631  0.18548536 0.06385934 0.03800373
   0.00963562 0.06073507 0.1321782  0.        ]
  [0.         0.1023092  0.         0.         0.         0.
   0.         0.08220349 0.15267064 0.03676366]
  [0.         0.1293264  0.01866846 0.         0.         0.11399736
   0.07287923 0.         0.         0.        ]
  [0.04754518 0.         0.         0.08879609 0.         0.
   0.         0.         0.14168084 0.        ]
  [0.         0.02793367 0.         0.         0.08739594 0.10829215
   0.         0.         0.         0.        ]
  [0.         0.         0.         0.02236897 0.         0.08289744
   0.14751795 0.15061957 0.         0.00576441]
  [0.         0.         0.11081886 0.06637277 0.03263294 0.
   0.04440351 0.         0.09225847 0.09534989]
  [0.1290181  0.04355241 0.14714852 0.         0.         0.
   0.         0.19623739 0.         0.12649886]]]"
2,0.3968501780334155,"[[[0.         0.         0.         0.02542453 0.09340075 0.
   0.         0.0823831  0.         0.04294778]
  [0.         0.         0.0057456  0.         0.         0.
   0.         0.20501719 0.10126348 0.06348073]
  [0.0968336  0.         0.18705416 0.17939395 0.06261454 0.0351982
   0.0102229  0.0544865  0.12545602 0.        ]
  [0.         0.09582322 0.         0.         0.         0.
   0.         0.08055798 0.14361656 0.03400821]
  [0.         0.1254099  0.01504504 0.         0.         0.10910913
   0.07406908 0.         0.         0.        ]
  [0.04488665 0.         0.         0.08492516 0.         0.
   0.         0.         0.13154823 0.        ]
  [0.         0.02699945 0.         0.         0.08629426 0.10382331
   0.         0.         0.         0.        ]
  [0.         0.         0.         0.02250126 0.         0.07750777
   0.14269345 0.14446498 0.         0.00450887]
  [0.         0.         0.10636019 0.06308246 0.03216897 0.
   0.04496717 0.         0.09270971 0.09220988]
  [0.12153959 0.03777839 0.14338997 0.         0.         0.
   0.         0.18975694 0.         0.12289777]]]"
3,0.4166255820323199,"[[[0.         0.         0.         0.024235   0.08236028 0.
   0.         0.07630051 0.         0.03883002]
  [0.         0.         0.002848   0.         0.         0.
   0.         0.18575738 0.0936574  0.0582114 ]
  [0.0907305  0.         0.17672825 0.16722311 0.05459966 0.03915359
   0.01073364 0.05296716 0.11567108 0.        ]
  [0.         0.08963611 0.         0.         0.         0.
   0.         0.06889587 0.13019307 0.03179768]
  [0.         0.11436497 0.0180167  0.         0.         0.10290612
   0.06308891 0.         0.         0.        ]
  [0.04628788 0.         0.         0.07811493 0.         0.
   0.         0.         0.12684073 0.        ]
  [0.         0.02562535 0.         0.         0.07528843 0.09276695
   0.         0.         0.         0.        ]
  [0.         0.         0.         0.02094853 0.         0.07783115
   0.1304324  0.13599266 0.         0.00753132]
  [0.         0.         0.10658804 0.06041927 0.02885499 0.
   0.03887005 0.         0.08666709 0.08468468]
  [0.12333512 0.03717169 0.13495959 0.         0.         0.
   0.         0.17823753 0.         0.11385661]]]"
4,0.3406737880032868,"[[[0.         0.         0.         0.02274804 0.0794838  0.
   0.         0.07242418 0.         0.04223746]
  [0.         0.         0.00221311 0.         0.         0.
   0.         0.19404368 0.10072465 0.05761598]
  [0.100569   0.         0.1849893  0.17029279 0.05241997 0.03602134
   0.0113458  0.05613936 0.12476534 0.        ]
  [0.         0.09863931 0.         0.         0.         0.
   0.         0.07410806 0.1429022  0.03565652]
  [0.         0.11793488 0.01776394 0.         0.         0.10333104
   0.06404651 0.         0.         0.        ]
  [0.04833002 0.         0.         0.07971384 0.         0.
   0.         0.         0.13758618 0.        ]
  [0.         0.02741279 0.         0.         0.07292455 0.0971439
   0.         0.         0.         0.        ]
  [0.         0.         0.         0.01900904 0.         0.07255657
   0.13395478 0.14072402 0.         0.00474615]
  [0.         0.         0.10884997 0.06871666 0.03322666 0.
   0.03829899 0.         0.0825917  0.08778189]
  [0.12508333 0.04254906 0.13821065 0.         0.         0.
   0.         0.18602999 0.         0.11885563]]]"
5,0.37896466721446176,"[[[0.         0.         0.         0.02261136 0.08164301 0.
   0.         0.07441908 0.         0.03766367]
  [0.         0.         0.00278185 0.         0.         0.
   0.         0.18572961 0.09429164 0.05599573]
  [0.09069371 0.         0.17658888 0.16724847 0.05482661 0.0403462
   0.01122443 0.0525692  0.11785838 0.        ]
  [0.         0.09221829 0.         0.         0.         0.
   0.         0.06850572 0.13213426 0.03132996]
  [0.         0.11284375 0.0183848  0.         0.         0.10063607
   0.06402647 0.         0.         0.        ]
  [0.04672913 0.         0.         0.07629175 0.         0.
   0.         0.         0.12800534 0.        ]
  [0.         0.02533163 0.         0.         0.07609006 0.09198521
   0.         0.         0.         0.        ]
  [0.         0.         0.         0.02088339 0.         0.07655289
   0.13074374 0.13421749 0.         0.00723418]
  [0.         0.         0.10425872 0.06268208 0.02836835 0.
   0.03919939 0.         0.08698013 0.08441307]
  [0.12201098 0.03898665 0.13326275 0.         0.         0.
   0.         0.17854148 0.         0.11464779]]]"
6,0.4317173377156943,"[[[0.         0.         0.         0.02407321 0.08048472 0.
   0.         0.07369667 0.         0.03924648]
  [0.         0.         0.00169232 0.         0.         0.
   0.         0.18196626 0.09124295 0.05702141]
  [0.08871183 0.         0.1737399  0.16423637 0.05209432 0.04009135
   0.01074219 0.05306684 0.11416456 0.        ]
  [0.         0.08968922 0.         0.         0.         0.
   0.         0.06700399 0.12892935 0.03024369]
  [0.         0.11188253 0.01957224 0.         0.         0.1012191
   0.05992927 0.         0.         0.        ]
  [0.04681501 0.         0.         0.07503042 0.         0.
   0.         0.         0.12515442 0.        ]
  [0.         0.02462337 0.         0.         0.07270355 0.08981631
   0.         0.         0.         0.        ]
  [0.         0.         0.         0.02065064 0.         0.07767397
   0.1287016  0.1317441  0.         0.00731221]
  [0.         0.         0.10452885 0.05929467 0.02871539 0.
   0.03823523 0.         0.08446401 0.0822885 ]
  [0.12252527 0.03742453 0.13195498 0.         0.         0.
   0.         0.17565501 0.         0.11224426]]]"
7,0.3969049575458778,"[[[0.         0.         0.         0.02199742 0.07291299 0.
   0.         0.06829922 0.         0.03687127]
  [0.         0.         0.00100058 0.         0.         0.
   0.         0.17203365 0.08687256 0.05385618]
  [0.08567984 0.         0.16533342 0.1532158  0.04545476 0.03708406
   0.00960122 0.05248608 0.10841367 0.        ]
  [0.         0.08693623 0.         0.         0.         0.
   0.         0.063975   0.12444878 0.03107513]
  [0.         0.10564983 0.01792409 0.         0.         0.09373469
   0.0563999  0.         0.         0.        ]
  [0.04464231 0.         0.         0.07293507 0.         0.
   0.         0.         0.12256545 0.        ]
  [0.         0.02595294 0.         0.         0.06543412 0.08650353
   0.         0.         0.         0.        ]
  [0.         0.         0.         0.0184676  0.         0.07172153
   0.11940704 0.12812762 0.         0.00748008]
  [0.         0.         0.10330378 0.05632934 0.02886174 0.
   0.03631571 0.         0.07769433 0.07676446]
  [0.11618874 0.03717675 0.12592962 0.         0.         0.
   0.         0.16555056 0.         0.1107647 ]]]"
8,0.3815119145439606,"[[[0.         0.         0.         0.02198012 0.07679791 0.
   0.         0.0700732  0.         0.03517427]
  [0.         0.         0.00050972 0.         0.         0.
   0.         0.17637242 0.0921099  0.05542396]
  [0.08776779 0.         0.17034909 0.16040821 0.04841439 0.04163549
   0.01108127 0.05453982 0.11510091 0.        ]
  [0.         0.09150541 0.         0.         0.         0.
   0.         0.06342115 0.12920302 0.03156514]
  [0.         0.10795975 0.01980525 0.         0.         0.09747676
   0.05865426 0.         0.         0.        ]
  [0.04876507 0.         0.         0.07497267 0.         0.
   0.         0.         0.12998775 0.        ]
  [0.         0.02605066 0.         0.         0.06907252 0.08929221
   0.         0.         0.         0.        ]
  [0.         0.         0.         0.0188952  0.         0.07674637
   0.12268431 0.13244751 0.         0.00698778]
  [0.         0.         0.10686126 0.05811725 0.02857252 0.
   0.03897217 0.         0.08348829 0.08024605]
  [0.12187154 0.03874052 0.13087402 0.         0.         0.
   0.         0.17214605 0.         0.11680382]]]"
9,0.3736510545056149,"[[[0.         0.         0.         0.02271745 0.07799783 0.
   0.         0.07229424 0.         0.03687243]
  [0.         0.         0.00192119 0.         0.         0.
   0.         0.17791183 0.0910235  0.0563996 ]
  [0.08715943 0.         0.17173065 0.16163591 0.04976627 0.04088274
   0.01056875 0.05438109 0.1130439  0.        ]
  [0.         0.08982447 0.         0.         0.         0.
   0.         0.06470773 0.12777689 0.03107708]
  [0.         0.10973661 0.01918157 0.         0.         0.09897993
   0.05890779 0.         0.         0.        ]
  [0.04766891 0.         0.         0.07553491 0.         0.
   0.         0.         0.1274135  0.        ]
  [0.         0.02557691 0.         0.         0.07019291 0.08946308
   0.         0.         0.         0.        ]
  [0.         0.         0.         0.0189834  0.         0.07780563
   0.12461208 0.13274401 0.         0.00751327]
  [0.         0.         0.1066433  0.0576571  0.02795907 0.
   0.0383952  0.         0.08341099 0.08062893]
  [0.12258831 0.03799951 0.13124356 0.         0.         0.
   0.         0.1723291  0.         0.11479244]]]"
