iteration,test_acc,actions
0,0.35026710760620705,"[[[0.01418838 0.         0.00344541 0.00589534 0.00038919 0.01158276
   0.         0.01528029 0.00590532 0.        ]
  [0.         0.01257871 0.00651259 0.         0.         0.
   0.         0.         0.         0.01534429]
  [0.00970447 0.00379932 0.         0.         0.         0.
   0.         0.         0.00210297 0.        ]
  [0.00950225 0.00367198 0.         0.01221264 0.00624606 0.00665292
   0.00244396 0.         0.0047559  0.00097696]
  [0.         0.01229865 0.00142429 0.0084825  0.01143884 0.01682952
   0.         0.         0.00791886 0.00073594]
  [0.         0.         0.00575546 0.         0.         0.
   0.00290779 0.         0.         0.        ]
  [0.00476441 0.00139176 0.         0.         0.         0.
   0.00238827 0.00204187 0.00496454 0.0051524 ]
  [0.0122034  0.00378587 0.         0.         0.01818506 0.01022661
   0.         0.         0.         0.        ]
  [0.         0.01755774 0.         0.00713439 0.01482353 0.
   0.         0.         0.         0.        ]
  [0.00752671 0.01068903 0.         0.00725217 0.         0.
   0.01698415 0.00419617 0.         0.        ]]]"
1,0.35759348766217247,"[[[0.1381714  0.         0.05958402 0.         0.06899466 0.15094532
   0.         0.13266435 0.04073453 0.        ]
  [0.         0.15188289 0.06423058 0.         0.01339456 0.
   0.0376717  0.         0.         0.08083054]
  [0.16888386 0.         0.         0.         0.         0.06819399
   0.         0.         0.0163224  0.        ]
  [0.05778391 0.11316293 0.         0.06697233 0.05657586 0.12399944
   0.         0.         0.00995118 0.03701686]
  [0.         0.16325104 0.02812145 0.04081961 0.10495809 0.19870475
   0.         0.         0.05887875 0.00212858]
  [0.         0.02011539 0.0510914  0.         0.         0.
   0.11407214 0.         0.         0.        ]
  [0.0871949  0.02537313 0.09519553 0.01010072 0.         0.
   0.06636357 0.10256262 0.01444213 0.06522701]
  [0.19253352 0.         0.         0.         0.23184517 0.10713202
   0.         0.0047644  0.         0.        ]
  [0.         0.0520224  0.01792677 0.03415812 0.06668039 0.
   0.         0.         0.         0.        ]
  [0.         0.13412136 0.05889372 0.01218938 0.03445224 0.
   0.16278969 0.00347613 0.         0.00137345]]]"
2,0.33696260493513097,"[[[0.13047406 0.         0.05596611 0.         0.06815021 0.14355336
   0.         0.1275028  0.04086195 0.        ]
  [0.         0.15040192 0.06455382 0.         0.01399825 0.
   0.04520882 0.         0.         0.0715049 ]
  [0.16780037 0.         0.         0.         0.         0.06485232
   0.         0.         0.00947339 0.        ]
  [0.05509482 0.11124865 0.         0.06427273 0.05189285 0.11725123
   0.         0.         0.00614319 0.0327254 ]
  [0.         0.15518562 0.0271125  0.03959651 0.10195047 0.19041127
   0.         0.         0.05719914 0.00372119]
  [0.         0.02575075 0.05278898 0.         0.         0.
   0.11061613 0.         0.         0.        ]
  [0.08632205 0.02330988 0.0924267  0.01218188 0.         0.
   0.07097593 0.09556231 0.0171817  0.06722803]
  [0.18952554 0.         0.         0.         0.22674815 0.11132932
   0.         0.         0.         0.        ]
  [0.         0.05503046 0.01841307 0.02938279 0.0631116  0.
   0.         0.         0.         0.        ]
  [0.         0.13247263 0.06166232 0.02049481 0.03567648 0.
   0.16038972 0.00264187 0.         0.        ]]]"
3,0.35950139913508006,"[[[0.13522628 0.         0.05736591 0.         0.06696441 0.14564249
   0.         0.13201171 0.04172542 0.        ]
  [0.         0.1535535  0.06337476 0.         0.01587633 0.
   0.0439357  0.         0.         0.07421204]
  [0.16873601 0.         0.         0.         0.         0.06592902
   0.         0.         0.01113098 0.        ]
  [0.05637241 0.11268938 0.         0.0676773  0.05050788 0.1208235
   0.         0.         0.00930257 0.03443985]
  [0.         0.16101576 0.0276863  0.03917104 0.10516847 0.19654116
   0.         0.         0.05965453 0.00197443]
  [0.         0.02565044 0.0513998  0.         0.         0.
   0.11189274 0.         0.         0.        ]
  [0.08611778 0.02229629 0.09194332 0.00938227 0.         0.
   0.06921792 0.09919229 0.01830331 0.06924576]
  [0.19406825 0.         0.         0.         0.23015283 0.1130298
   0.         0.         0.         0.        ]
  [0.         0.05410844 0.0188137  0.03300998 0.0640752  0.
   0.         0.         0.         0.        ]
  [0.         0.13699162 0.06000154 0.02098792 0.03645393 0.
   0.16243525 0.00079285 0.         0.        ]]]"
4,0.379979648944289,"[[[0.12849596 0.         0.05462525 0.         0.0659592  0.13876614
   0.         0.12666014 0.04071935 0.        ]
  [0.         0.14419605 0.06329261 0.         0.01253601 0.
   0.04254395 0.         0.         0.07133629]
  [0.16302529 0.         0.         0.         0.         0.06218413
   0.         0.         0.0107012  0.        ]
  [0.05512213 0.10911025 0.         0.06451543 0.05337318 0.11540876
   0.         0.         0.00737748 0.03045821]
  [0.         0.15468581 0.0271516  0.04174969 0.10046477 0.18885019
   0.         0.         0.0563786  0.00459436]
  [0.         0.02190784 0.0517388  0.         0.         0.
   0.10746485 0.         0.         0.        ]
  [0.08133385 0.02214278 0.08931302 0.00961983 0.         0.
   0.06761897 0.09148815 0.01792425 0.06703323]
  [0.18588737 0.         0.         0.         0.22113803 0.10700825
   0.         0.         0.         0.        ]
  [0.         0.05581794 0.01552034 0.03080848 0.06045634 0.
   0.         0.         0.         0.        ]
  [0.         0.13173231 0.0588344  0.01890873 0.03496343 0.
   0.15619643 0.00269527 0.         0.00141051]]]"
5,0.3638768761129484,"[[[0.13225602 0.         0.05639122 0.         0.06765527 0.14457987
   0.         0.12672229 0.03864332 0.        ]
  [0.         0.14849153 0.05689096 0.         0.0111053  0.
   0.03908958 0.         0.         0.07143544]
  [0.16386025 0.         0.         0.         0.         0.06467053
   0.         0.         0.01396917 0.        ]
  [0.05886233 0.11029633 0.         0.06769112 0.05155628 0.12086928
   0.         0.         0.00725148 0.0301697 ]
  [0.         0.15867867 0.02534872 0.03855322 0.10027982 0.18818536
   0.         0.         0.05268696 0.00525638]
  [0.         0.02153899 0.04998586 0.         0.         0.
   0.10511268 0.         0.         0.        ]
  [0.08128367 0.02164879 0.08510428 0.0068909  0.         0.
   0.06068684 0.09338295 0.0158016  0.06442509]
  [0.1897047  0.         0.         0.         0.21867454 0.10502291
   0.         0.00117961 0.         0.        ]
  [0.         0.05218493 0.01289941 0.03482769 0.06475686 0.
   0.         0.         0.         0.        ]
  [0.         0.13378537 0.06389278 0.01265786 0.03614379 0.
   0.15205    0.         0.         0.        ]]]"
6,0.35581277028745867,"[[[0.12924439 0.         0.05563985 0.         0.06673353 0.14543501
   0.         0.12814219 0.04153822 0.        ]
  [0.         0.14722064 0.06210295 0.         0.0153871  0.
   0.04452633 0.         0.         0.06850342]
  [0.16712806 0.         0.         0.         0.         0.06228316
   0.         0.         0.01109364 0.        ]
  [0.05604913 0.10896211 0.         0.06712021 0.05181773 0.11951368
   0.         0.         0.00579394 0.02998674]
  [0.         0.15483482 0.02761004 0.03974949 0.10040337 0.18875417
   0.         0.         0.05543132 0.00530153]
  [0.         0.02579829 0.05140663 0.         0.         0.
   0.10523869 0.         0.         0.        ]
  [0.08415577 0.02055129 0.08736615 0.01094013 0.         0.
   0.06763639 0.09522787 0.01797001 0.06580625]
  [0.19157964 0.         0.         0.         0.22280997 0.11107153
   0.         0.         0.         0.        ]
  [0.         0.05257063 0.01758868 0.033751   0.06147194 0.
   0.         0.         0.         0.        ]
  [0.         0.135258   0.06357045 0.0167104  0.03426873 0.
   0.15991755 0.         0.         0.        ]]]"
7,0.382828796743831,"[[[0.12556127 0.         0.05361636 0.         0.06763387 0.14209627
   0.         0.12365542 0.04070819 0.        ]
  [0.         0.14544934 0.06231294 0.         0.01466041 0.
   0.04615477 0.         0.         0.06552101]
  [0.16565153 0.         0.         0.         0.         0.05949833
   0.         0.         0.00888623 0.        ]
  [0.05427762 0.10740168 0.         0.06341377 0.05119657 0.11750704
   0.         0.         0.00376135 0.02634556]
  [0.         0.15009469 0.02561547 0.04071847 0.09694521 0.18317968
   0.         0.         0.05410417 0.00581611]
  [0.         0.02569542 0.051963   0.         0.         0.
   0.10187007 0.         0.         0.        ]
  [0.08286259 0.019352   0.08681247 0.01270078 0.         0.
   0.06933354 0.09134047 0.01711529 0.06592701]
  [0.18829405 0.         0.         0.         0.21970603 0.11019309
   0.         0.         0.         0.        ]
  [0.         0.05540859 0.01813414 0.0301541  0.06024726 0.
   0.         0.         0.         0.        ]
  [0.         0.13192613 0.06613742 0.01931494 0.03469716 0.
   0.15786676 0.00144734 0.         0.        ]]]"
8,0.36184177054184685,"[[[1.26596019e-01 0.00000000e+00 5.31033911e-02 0.00000000e+00
   6.69458285e-02 1.39496475e-01 0.00000000e+00 1.23233423e-01
   3.85486335e-02 0.00000000e+00]
  [0.00000000e+00 1.40535191e-01 5.73174022e-02 0.00000000e+00
   1.13754049e-02 0.00000000e+00 3.84384394e-02 0.00000000e+00
   0.00000000e+00 6.85472414e-02]
  [1.59904525e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
   0.00000000e+00 6.10214882e-02 0.00000000e+00 0.00000000e+00
   1.42187495e-02 0.00000000e+00]
  [5.86131811e-02 1.05931066e-01 0.00000000e+00 6.44808412e-02
   5.19638956e-02 1.17161989e-01 0.00000000e+00 0.00000000e+00
   5.64130489e-03 2.71789245e-02]
  [0.00000000e+00 1.53870568e-01 2.73359045e-02 4.01332453e-02
   9.50751454e-02 1.80145651e-01 0.00000000e+00 0.00000000e+00
   4.93136272e-02 3.04731494e-03]
  [0.00000000e+00 2.09553838e-02 4.80364896e-02 0.00000000e+00
   0.00000000e+00 0.00000000e+00 1.01982683e-01 0.00000000e+00
   0.00000000e+00 0.00000000e+00]
  [7.89512694e-02 1.80536732e-02 8.42064619e-02 8.49788170e-03
   0.00000000e+00 0.00000000e+00 5.84561750e-02 9.25016925e-02
   1.24924826e-02 6.20158650e-02]
  [1.84044525e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
   2.10557848e-01 1.00760348e-01 0.00000000e+00 2.20009778e-03
   0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 5.28317727e-02 1.18115293e-02 3.42949219e-02
   6.16870597e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
   0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 1.29706055e-01 6.42521977e-02 9.79545340e-03
   3.76193337e-02 0.00000000e+00 1.49521053e-01 0.00000000e+00
   0.00000000e+00 1.05089508e-04]]]"
9,0.3507250063597049,"[[[0.12506901 0.         0.05276236 0.         0.06689472 0.13785332
   0.         0.12255126 0.03927787 0.        ]
  [0.         0.14139664 0.06014892 0.         0.01196542 0.
   0.04238146 0.         0.         0.06705816]
  [0.16117302 0.         0.         0.         0.         0.06009088
   0.         0.         0.01060382 0.        ]
  [0.05590838 0.10650627 0.         0.06321431 0.05207378 0.1150775
   0.         0.         0.00484798 0.02641405]
  [0.         0.15117206 0.026092   0.04120523 0.09582025 0.18135059
   0.         0.         0.05186521 0.00493363]
  [0.         0.02230199 0.05059849 0.         0.         0.
   0.10216025 0.         0.         0.        ]
  [0.07955124 0.01963503 0.08553695 0.01010493 0.         0.
   0.06450292 0.08916339 0.0156039  0.06460848]
  [0.18413821 0.         0.         0.         0.21408938 0.10452026
   0.         0.         0.         0.        ]
  [0.         0.05539618 0.01397418 0.03098617 0.05985599 0.
   0.         0.         0.         0.        ]
  [0.         0.12987326 0.06330582 0.01605778 0.03627098 0.
   0.15198268 0.00146266 0.         0.00060732]]]"
