iteration,test_acc
0,0.09501506436592715
1,0.09501506436592715
2,0.4070117775951794
3,0.3355519035880581
4,0.4133114215283484
5,0.3661462612982745
6,0.4331963845521774
7,0.3827992330868255
8,0.4315803889345384
9,0.3891262667762256
10,0.4139961654341275
11,0.41101068200493013
12,0.40739523418241574
13,0.40599835661462613
14,0.4260750479320734
15,0.4263763352506163
16,0.4163790742262393
17,0.4094768556559846
18,0.4207066557107642
19,0.3966584497397973
20,0.4308956450287592
21,0.40591618734593254
22,0.43645576554368665
23,0.4123801698164887
24,0.4387017255546427
25,0.40577923856477677
26,0.43459326211996707
27,0.4074774034511093
28,0.45187619830183506
29,0.40430019172829373
30,0.4367022733497672
31,0.4261298274445357
32,0.4064913722267873
33,0.43470282114489184
34,0.4282114489181047
35,0.43793481238016985
36,0.4270062996439333
37,0.4291974801424268
38,0.41298274445357447
39,0.43486715968227885
40,0.41336620104081073
41,0.41114763078608596
42,0.4437962202136402
43,0.40758696247603404
44,0.4299370035606683
45,0.43401807723911257
46,0.4277732128184059
47,0.43034784990413594
48,0.4301013420980553
49,0.4252259654889071
50,0.44187893727745825
51,0.42615721720076694
52,0.428594905505341
53,0.44349493289509717
54,0.4350041084634347
55,0.4447274719254999
56,0.4227061079156396
57,0.4312791016159956
58,0.41051766639276904
59,0.4318542864968503
60,0.41911804984935636
61,0.4325390304026293
62,0.43563407285675154
63,0.40443714050944946
64,0.4433579841139414
65,0.409531635168447
66,0.4386469460421802
67,0.42336346206518766
68,0.4378800328677075
69,0.4181867981374966
70,0.4293892084360449
71,0.4270336894001642
72,0.42993700356066833
73,0.43199123527800604
74,0.42623938646946047
75,0.4377978635990139
76,0.4156395508079979
77,0.43892084360449196
78,0.43357984113941384
79,0.4448096411941933
80,0.42577376061353067
81,0.436181867981375
82,0.4398794850725828
83,0.4359353601752945
84,0.4239386469460422
85,0.4445083538756505
86,0.4371405094494659
87,0.4391947411668037
88,0.4359353601752944
89,0.43664749383730483
90,0.43982470556012043
91,0.4305395781977541
92,0.4179129005751849
93,0.4442070665571075
94,0.42517118597644477
95,0.4404820597096686
96,0.4251985757326759
97,0.4321829635716242
98,0.42859490550534096
99,0.43672966310599837
100,0.430046562585593
101,0.42508901670775134
102,0.4368940016433854
103,0.43483976992604767
104,0.42547247329498766
105,0.4379348123801698
106,0.43618186798137487
107,0.4412489728841413
108,0.44494658997534925
109,0.43212818405916187
110,0.44031772117228163
111,0.44122158312791016
112,0.43336072308956447
113,0.44637085729937
114,0.43459326211996724
115,0.43481238016981644
116,0.43297726650232826
117,0.4321281840591619
118,0.43826348945494387
119,0.43462065187619836
120,0.42476033963297716
121,0.4369761709120788
122,0.4237743084086552
123,0.43944124897288417
124,0.42634894549438507
125,0.44308408655162973
126,0.434565872363736
127,0.4270884689126267
128,0.4271980279375514
129,0.4318816762530814
130,0.4238290879211174
131,0.4387291153108736
132,0.43678444261846067
133,0.4402081621473569
134,0.42914270062996446
135,0.43242947137770477
136,0.44702821144891797
137,0.4343193645576554
138,0.4592166529717885
139,0.4303204601479047
140,0.4435497124075595
141,0.4323473021090111
142,0.4390304026294166
143,0.4423171733771569
144,0.44582306217474665
145,0.4233086825527252
146,0.440071213366201
147,0.4410846343467544
148,0.4153656532456862
149,0.4358258011503698
150,0.4267050123253904
151,0.4412215831279102
152,0.450725828540126
153,0.4389756231169541
154,0.4341824157764996
155,0.43916735141057256
156,0.4345384826075049
157,0.4399342645850452
158,0.4464256368118324
159,0.42749931525609425
160,0.4440975075321829
161,0.44453574363188164
162,0.45006847439057796
163,0.42555464256368114
164,0.45045193097781433
165,0.4268419611065461
166,0.4398520953163516
167,0.43289509723363456
168,0.44270062996439336
169,0.4306217474664474
170,0.4520679265954533
171,0.4343193645576554
172,0.44601479046836484
173,0.4379348123801699
174,0.43275814845247873
175,0.4342371952889618
176,0.43404546699534385
177,0.44812380169816485
178,0.44259107093946853
179,0.44160503971514653
180,0.4294165981922761
181,0.44782251437962206
182,0.4258833196384553
183,0.4409476855655985
184,0.4453574363188168
185,0.4289235825801149
186,0.45045193097781433
187,0.43864694604218024
188,0.431662558203232
189,0.429087921117502
190,0.44242673240208163
191,0.4316899479594631
192,0.4372500684743905
193,0.4435771021637907
194,0.42801972062448634
195,0.4395508079978088
196,0.4337989591892632
197,0.42930703916735147
198,0.4337989591892632
199,0.4301287318542865
200,0.4521500958641468
201,0.43607230895645016
202,0.44182415776499595
203,0.44152287044645305
204,0.4421528348397699
205,0.4348671596822788
206,0.4301013420980554
207,0.44716516023007397
208,0.44612434949328944
209,0.4335524513831827
210,0.453464804163243
211,0.42771843330594356
212,0.4529170090386196
213,0.43275814845247884
214,0.43297726650232815
215,0.4264037250068474
216,0.4343741440701178
217,0.4299917830731307
218,0.4284031772117229
219,0.4469186524239933
220,0.43399068748288144
221,0.4424815119145439
222,0.43870172555464243
223,0.41750205423171727
224,0.4414407011777596
225,0.42654067378800337
226,0.42859490550534096
227,0.4464530265680634
228,0.43185428649685015
229,0.4485072582854012
230,0.43840043823609975
231,0.43352506162695154
232,0.4337715694330321
233,0.4339359079704191
234,0.43842782799233093
235,0.42303478499041364
236,0.44820597096685844
237,0.4374691865242399
238,0.44664475486168176
239,0.4291974801424267
240,0.4372774582306217
241,0.44105724459052326
242,0.4263763352506162
243,0.4379348123801698
244,0.44207066557107655
