iteration,test_acc,actions
0,0.3907736539466806,"[[[0.00000000e+00 0.00000000e+00 1.55902491e-03 0.00000000e+00
   6.93918020e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
   4.38730000e-03 1.87140435e-03]
  [0.00000000e+00 1.21313194e-03 8.80350592e-04 0.00000000e+00
   0.00000000e+00 1.79282413e-03 7.50796171e-04 0.00000000e+00
   0.00000000e+00 5.48636820e-03]
  [2.01173942e-04 2.86062527e-03 0.00000000e+00 0.00000000e+00
   0.00000000e+00 4.71019326e-03 0.00000000e+00 0.00000000e+00
   7.55700469e-03 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00 2.22123344e-03
   0.00000000e+00 1.08231371e-03 0.00000000e+00 1.24945287e-02
   6.39294274e-04 1.27142761e-03]
  [0.00000000e+00 0.00000000e+00 7.59431277e-04 1.86812459e-03
   7.54288398e-03 3.02804634e-04 1.26608461e-02 0.00000000e+00
   0.00000000e+00 0.00000000e+00]
  [2.88260099e-03 5.30649209e-03 6.74643554e-04 8.65028705e-05
   0.00000000e+00 4.00068425e-03 2.48168968e-03 0.00000000e+00
   0.00000000e+00 6.44537271e-04]
  [1.08190747e-02 0.00000000e+00 1.80790550e-04 1.92532723e-03
   0.00000000e+00 1.13184098e-03 0.00000000e+00 3.95291159e-03
   3.76908109e-04 1.31686106e-02]
  [6.14981633e-03 0.00000000e+00 1.16626779e-03 3.44473892e-03
   5.69057744e-03 4.83556231e-03 1.71478477e-03 0.00000000e+00
   9.83341411e-03 0.00000000e+00]
  [0.00000000e+00 5.74889919e-03 0.00000000e+00 0.00000000e+00
   0.00000000e+00 3.45553271e-03 1.16012990e-03 0.00000000e+00
   1.00976881e-02 3.54125607e-03]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
   5.62733971e-03 4.99714259e-03 2.33832700e-03 0.00000000e+00
   0.00000000e+00 0.00000000e+00]]]"
1,0.4806325143753267,"[[[0.         0.         0.00167966 0.         0.11039111 0.00044499
   0.         0.         0.08865382 0.0472007 ]
  [0.         0.04337129 0.         0.         0.07990576 0.03878994
   0.04713418 0.         0.06368574 0.        ]
  [0.         0.         0.00581365 0.02574418 0.00782868 0.0473224
   0.         0.         0.05261584 0.        ]
  [0.         0.         0.05173993 0.05309636 0.018234   0.08377287
   0.         0.28223681 0.11504129 0.04734185]
  [0.04472372 0.         0.07525308 0.         0.11214012 0.01369906
   0.06263439 0.03150954 0.         0.        ]
  [0.         0.02705255 0.09050044 0.06283646 0.06418406 0.09535077
   0.00252532 0.         0.06911458 0.01148146]
  [0.17519216 0.         0.01985538 0.04943769 0.07239892 0.0181557
   0.         0.05635501 0.11451708 0.06284151]
  [0.07683158 0.         0.06719827 0.         0.00297216 0.00532011
   0.04830425 0.         0.15633553 0.        ]
  [0.         0.02320691 0.         0.         0.         0.
   0.04828976 0.         0.1529476  0.02233641]
  [0.         0.         0.         0.03188718 0.04774359 0.
   0.         0.02773139 0.         0.11421136]]]"
2,0.48870883429168843,"[[[0.         0.         0.02732692 0.         0.12276739 0.00249447
   0.00346335 0.         0.06825764 0.06080965]
  [0.         0.0644391  0.         0.         0.06425608 0.04201892
   0.05567984 0.         0.06567089 0.        ]
  [0.01166769 0.         0.         0.04457385 0.         0.06866539
   0.         0.         0.02597702 0.        ]
  [0.         0.         0.0684287  0.06313706 0.01188803 0.08341385
   0.         0.32362425 0.1348947  0.04860686]
  [0.06772668 0.         0.07823703 0.         0.12320463 0.01468701
   0.07934535 0.03702614 0.         0.        ]
  [0.         0.0454584  0.09513044 0.09072041 0.06277712 0.08934865
   0.         0.         0.07509254 0.01136576]
  [0.19407713 0.         0.03568809 0.04938604 0.09718954 0.02463535
   0.         0.07313364 0.1005989  0.06888846]
  [0.07374925 0.         0.0903234  0.         0.         0.00910564
   0.04101041 0.         0.15350989 0.        ]
  [0.         0.00388633 0.         0.         0.         0.
   0.06100678 0.         0.13976245 0.04929992]
  [0.         0.00386231 0.         0.021546   0.04157839 0.
   0.         0.03473798 0.         0.11265728]]]"
3,0.46675378985886046,"[[[0.00000000e+00 0.00000000e+00 1.16800247e-02 0.00000000e+00
   1.11996666e-01 0.00000000e+00 4.70471615e-03 0.00000000e+00
   6.52980655e-02 4.24986891e-02]
  [0.00000000e+00 5.97798824e-02 0.00000000e+00 0.00000000e+00
   6.83590174e-02 5.33729494e-02 5.98106943e-02 0.00000000e+00
   7.22873062e-02 0.00000000e+00]
  [1.59962513e-02 0.00000000e+00 4.20505926e-03 3.97823118e-02
   1.71735161e-03 6.59386814e-02 0.00000000e+00 0.00000000e+00
   4.08876091e-02 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 5.11778705e-02 6.24457300e-02
   6.23677112e-03 9.86712724e-02 0.00000000e+00 3.05920273e-01
   1.30495131e-01 3.57482694e-02]
  [6.80827945e-02 0.00000000e+00 7.28569254e-02 0.00000000e+00
   1.19655386e-01 1.77128389e-02 6.95682168e-02 3.51053067e-02
   0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 4.26071435e-02 8.97009820e-02 8.90748501e-02
   5.81183136e-02 8.97386521e-02 0.00000000e+00 0.00000000e+00
   8.16187114e-02 2.32294891e-02]
  [1.87526569e-01 0.00000000e+00 3.11904214e-02 5.75560965e-02
   9.04275998e-02 3.25415693e-02 0.00000000e+00 4.97462898e-02
   1.05349496e-01 8.15942734e-02]
  [8.60517994e-02 0.00000000e+00 9.14378464e-02 0.00000000e+00
   2.04430893e-04 0.00000000e+00 4.70973141e-02 0.00000000e+00
   1.57488972e-01 0.00000000e+00]
  [0.00000000e+00 1.53158754e-02 0.00000000e+00 0.00000000e+00
   0.00000000e+00 0.00000000e+00 4.96894494e-02 0.00000000e+00
   1.27755418e-01 2.97723003e-02]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00 2.29137484e-02
   3.33003365e-02 0.00000000e+00 0.00000000e+00 3.03033423e-02
   0.00000000e+00 1.00032225e-01]]]"
4,0.42075274438055404,"[[[0.         0.         0.         0.         0.1114611  0.
   0.         0.         0.05805758 0.03325349]
  [0.00922388 0.06720487 0.         0.         0.07310836 0.0420924
   0.05713265 0.         0.07060634 0.        ]
  [0.005808   0.         0.         0.02579693 0.03050901 0.03092711
   0.         0.         0.03181864 0.        ]
  [0.         0.         0.04223918 0.06465408 0.00939202 0.10515048
   0.         0.27722943 0.12066992 0.02526133]
  [0.06532086 0.         0.0566847  0.         0.10037485 0.02115794
   0.07621798 0.01642332 0.         0.        ]
  [0.         0.04160487 0.07825446 0.10020974 0.0471048  0.06704192
   0.         0.         0.08375677 0.0251868 ]
  [0.16660152 0.         0.02277841 0.04503335 0.06594823 0.03821086
   0.         0.03558754 0.10724659 0.05325393]
  [0.06971717 0.         0.10071106 0.         0.         0.00846023
   0.04266181 0.         0.14664383 0.        ]
  [0.         0.02550559 0.         0.         0.         0.
   0.05850113 0.         0.11563319 0.02312241]
  [0.         0.00879406 0.         0.00651563 0.02970332 0.
   0.         0.02653064 0.         0.11124858]]]"
5,0.4572660742289597,"[[[0.         0.         0.00475728 0.         0.10874921 0.
   0.         0.         0.07485422 0.03690655]
  [0.         0.04566363 0.         0.         0.07237384 0.04876972
   0.04811657 0.         0.06633352 0.        ]
  [0.00153627 0.         0.         0.02226518 0.01638955 0.04119644
   0.         0.         0.04577684 0.        ]
  [0.         0.         0.04653223 0.06050342 0.01868092 0.0892715
   0.         0.26959082 0.10730713 0.0321236 ]
  [0.04834146 0.         0.05597392 0.         0.10360974 0.02183231
   0.07473159 0.02399249 0.         0.        ]
  [0.         0.04223703 0.08574913 0.07827307 0.05387556 0.07545651
   0.         0.         0.06860681 0.02343806]
  [0.16732796 0.         0.0201813  0.04248243 0.06672288 0.03063124
   0.         0.04930681 0.10975167 0.05794882]
  [0.06772329 0.         0.07921571 0.         0.00124298 0.01010519
   0.03839409 0.         0.1574243  0.        ]
  [0.         0.01649532 0.         0.         0.         0.
   0.05517142 0.         0.13134609 0.02028122]
  [0.         0.00456945 0.         0.01961434 0.03716908 0.
   0.         0.03361493 0.         0.10502962]]]"
6,0.4620752744380554,"[[[0.         0.         0.02632052 0.         0.11384045 0.
   0.00122507 0.         0.06527966 0.04440391]
  [0.         0.04615868 0.         0.         0.06153686 0.04700231
   0.04744771 0.         0.0636462  0.        ]
  [0.01187565 0.         0.         0.03782816 0.         0.06159855
   0.         0.         0.03597125 0.        ]
  [0.         0.         0.06726789 0.05532178 0.01351636 0.08428237
   0.         0.28926075 0.11858835 0.04053135]
  [0.05333016 0.         0.06718709 0.         0.11714245 0.00573135
   0.08515739 0.0362181  0.         0.        ]
  [0.         0.04532393 0.09615423 0.0816621  0.07964075 0.08912357
   0.         0.         0.06350442 0.00797478]
  [0.18069822 0.         0.02593886 0.04860527 0.08691777 0.03124447
   0.         0.06453814 0.10452482 0.0709111 ]
  [0.06854458 0.         0.07799323 0.         0.0044239  0.01316351
   0.03510012 0.         0.1546973  0.        ]
  [0.         0.00704687 0.         0.         0.         0.
   0.06293855 0.         0.13239574 0.03311848]
  [0.         0.00530308 0.         0.01736753 0.03794519 0.
   0.         0.03170252 0.         0.10051386]]]"
7,0.44621014113957136,"[[[0.00000000e+00 0.00000000e+00 9.51285660e-03 0.00000000e+00
   1.01289347e-01 0.00000000e+00 7.88204954e-04 0.00000000e+00
   6.61878437e-02 3.95946279e-02]
  [0.00000000e+00 4.84817959e-02 0.00000000e+00 0.00000000e+00
   6.66472465e-02 4.09538895e-02 4.97165471e-02 0.00000000e+00
   6.04987554e-02 0.00000000e+00]
  [6.33818144e-03 0.00000000e+00 9.58554074e-03 3.60320397e-02
   1.24926702e-03 6.00458160e-02 0.00000000e+00 0.00000000e+00
   4.55094762e-02 0.00000000e+00]
  [0.00000000e+00 0.00000000e+00 5.11783324e-02 5.01779281e-02
   6.70389924e-03 8.92049074e-02 0.00000000e+00 2.75919855e-01
   1.18538968e-01 3.98757197e-02]
  [5.32060452e-02 0.00000000e+00 7.38965049e-02 0.00000000e+00
   1.14665240e-01 6.33717747e-03 6.46167621e-02 3.62495445e-02
   0.00000000e+00 0.00000000e+00]
  [0.00000000e+00 2.87040174e-02 8.41816440e-02 6.99749291e-02
   7.14973062e-02 9.33699608e-02 0.00000000e+00 0.00000000e+00
   6.95053041e-02 1.00785540e-02]
  [1.72824457e-01 0.00000000e+00 2.18086485e-02 5.85130155e-02
   8.17967802e-02 2.58489996e-02 0.00000000e+00 4.97672558e-02
   1.02102488e-01 7.56169856e-02]
  [8.21078345e-02 0.00000000e+00 7.28219748e-02 0.00000000e+00
   6.22385647e-04 2.71833967e-04 4.86772358e-02 0.00000000e+00
   1.42984331e-01 0.00000000e+00]
  [0.00000000e+00 2.40295343e-02 0.00000000e+00 0.00000000e+00
   0.00000000e+00 0.00000000e+00 4.39626835e-02 0.00000000e+00
   1.29508093e-01 2.31235214e-02]
  [0.00000000e+00 0.00000000e+00 0.00000000e+00 2.47857086e-02
   3.72090638e-02 0.00000000e+00 0.00000000e+00 2.34056953e-02
   0.00000000e+00 9.53256190e-02]]]"
8,0.42049137480397275,"[[[0.         0.         0.01655492 0.         0.10428089 0.
   0.         0.         0.0671089  0.04178656]
  [0.         0.04050891 0.         0.         0.06409758 0.04438701
   0.04550872 0.         0.05931376 0.        ]
  [0.00631935 0.         0.         0.03263442 0.0010082  0.05644976
   0.         0.         0.04530855 0.        ]
  [0.         0.         0.05561582 0.05480017 0.01720413 0.08399308
   0.         0.27267942 0.11271347 0.03994235]
  [0.04717347 0.         0.06699093 0.         0.1122407  0.01215479
   0.07549341 0.02929119 0.         0.        ]
  [0.         0.03898685 0.08699382 0.07515084 0.07149828 0.08446646
   0.         0.         0.05932385 0.01613859]
  [0.17074372 0.         0.0195062  0.04758122 0.07616208 0.0301425
   0.         0.05903613 0.10326824 0.06589484]
  [0.0734836  0.         0.07489408 0.         0.00288894 0.01082432
   0.03929942 0.         0.15141994 0.        ]
  [0.         0.0129184  0.         0.         0.         0.
   0.05103888 0.         0.13124374 0.02270919]
  [0.         0.         0.         0.02658517 0.03736879 0.
   0.         0.02775052 0.         0.09922952]]]"
9,0.4419498170412964,"[[[0.         0.         0.02440568 0.         0.10766275 0.
   0.00361594 0.         0.07547192 0.04309189]
  [0.         0.03493666 0.         0.         0.06366123 0.05655471
   0.04450068 0.         0.06082254 0.        ]
  [0.01082905 0.         0.         0.03111688 0.         0.06727851
   0.         0.         0.05261589 0.        ]
  [0.         0.         0.06018703 0.05910655 0.02307939 0.08088382
   0.         0.28396767 0.11017636 0.03990503]
  [0.04368679 0.         0.06058707 0.         0.11939271 0.01682702
   0.08281562 0.03791914 0.         0.        ]
  [0.         0.04768619 0.09501883 0.07192422 0.07640008 0.08679505
   0.00371037 0.         0.05590208 0.01980248]
  [0.18201475 0.         0.02284578 0.04848932 0.08461101 0.03011513
   0.         0.06762556 0.11026025 0.07235003]
  [0.07283703 0.         0.07110123 0.         0.00851198 0.01374036
   0.0356384  0.         0.1645416  0.        ]
  [0.         0.00493001 0.         0.         0.         0.
   0.05479931 0.         0.13843955 0.02424667]
  [0.         0.         0.         0.02952399 0.04170896 0.
   0.         0.03947911 0.         0.09686176]]]"
