iteration,actions,rewards,test_acc
0,"[[0.         0.34097259 0.20447035 0.2328627  0.22169436]
 [0.33423758 0.         0.22673343 0.36254023 0.07648876]
 [0.42004331 0.22034137 0.         0.06056803 0.29904729]
 [0.19925544 0.04182837 0.37377329 0.         0.0382982 ]
 [0.38343769 0.177484   0.13180129 0.30727702 0.        ]]",-11.178810815267019,0.2946086298364999
1,"[[0.         0.23518519 0.5824543  0.00635156 0.17600896]
 [0.25312812 0.         0.20078102 0.36394586 0.182145  ]
 [0.08430704 0.34347795 0.         0.24025962 0.3319554 ]
 [0.35984242 0.34713801 0.21049408 0.         0.08252549]
 [0.19238734 0.28682226 0.20635033 0.31444007 0.        ]]",-11.180723810840297,0.2944443587892719
2,"[[0.         0.21258466 0.16215319 0.35181972 0.27344242]
 [0.27165359 0.         0.12914441 0.32898615 0.27021586]
 [0.36904787 0.08396896 0.         0.05870202 0.48828115]
 [0.23954543 0.26344374 0.15867473 0.         0.33833611]
 [0.21295775 0.11738874 0.35444002 0.31521349 0.        ]]",-11.127174032486236,0.294280087742044
3,"[[0.         0.37335876 0.08271441 0.23973264 0.30419419]
 [0.27940685 0.         0.36689445 0.14635879 0.20733991]
 [0.17873205 0.49573434 0.         0.32263038 0.00290323]
 [0.15762784 0.16045988 0.35735646 0.         0.32455582]
 [0.24295034 0.24387457 0.24770221 0.26547287 0.        ]]",-11.077564638369793,0.294280087742044
4,"[[0.         0.40459506 0.41048432 0.12071389 0.06420673]
 [0.01092094 0.         0.16821314 0.58462449 0.23624143]
 [0.13416551 0.18478867 0.         0.11201345 0.56903237]
 [0.05072702 0.42948778 0.11573149 0.         0.40405371]
 [0.10549614 0.30556802 0.32352316 0.26541268 0.        ]]",-11.17691994672781,0.2945264943128859
5,"[[0.         0.14023217 0.50674769 0.26545352 0.08756662]
 [0.56403514 0.         0.24684768 0.17170844 0.01740875]
 [0.22715432 0.06671621 0.         0.51963716 0.18649231]
 [0.22988619 0.18520521 0.52623888 0.         0.05866972]
 [0.14787183 0.0427644  0.28303145 0.52633231 0.        ]]",-11.121052482035068,0.294362223265658
6,"[[0.         0.06532947 0.42237811 0.39364735 0.11864508]
 [0.21601668 0.         0.16485903 0.41395789 0.20516639]
 [0.29037709 0.36090769 0.         0.12136772 0.22734749]
 [0.26456485 0.06405849 0.33941127 0.         0.3319654 ]
 [0.15577558 0.49012718 0.24745552 0.10664172 0.        ]]",-11.075700442569033,0.294362223265658
7,"[[0.         0.10403543 0.21538838 0.40707934 0.27349684]
 [0.23644165 0.         0.32070651 0.2753391  0.16751274]
 [0.28110071 0.68033675 0.         0.01822237 0.02034017]
 [0.13393377 0.18730863 0.56285753 0.         0.11590007]
 [0.29323355 0.31258652 0.24531937 0.14886056 0.        ]]",-11.18365138335987,0.294362223265658
8,"[[0.         0.43490937 0.14301888 0.39349593 0.02857583]
 [0.3549953  0.         0.06643621 0.41314761 0.16542088]
 [0.35584981 0.05821232 0.         0.35735518 0.22858269]
 [0.2918685  0.14228817 0.52517128 0.         0.04067204]
 [0.14435288 0.36653266 0.19799776 0.2911167  0.        ]]",-11.127947915638533,0.294280087742044
9,"[[0.         0.07196435 0.2140181  0.6519424  0.06207514]
 [0.38468666 0.         0.08664912 0.25804205 0.26427951]
 [0.23785971 0.43338661 0.         0.10307757 0.22567611]
 [0.24063878 0.52173629 0.10115109 0.         0.13647385]
 [0.33586633 0.09306872 0.31875138 0.25231357 0.        ]]",-11.083882013204935,0.294280087742044
10,"[[0.         0.05095455 0.06450979 0.40845732 0.34349926]
 [0.09902421 0.         0.39113185 0.22701715 0.28282679]
 [0.4481356  0.15925938 0.         0.0792404  0.31336463]
 [0.18153372 0.2554942  0.44127768 0.         0.1216944 ]
 [0.31160344 0.26456645 0.27156351 0.1522666  0.        ]]",-11.180724828880471,0.2945264943128859
11,"[[0.         0.         0.81328762 0.         0.        ]
 [0.41452073 0.         0.58547927 0.         0.        ]
 [0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.        ]
 [0.79779432 0.20220568 0.         0.         0.        ]]",-11.16903467246362,0.294280087742044
12,"[[0.         0.73446065 0.         0.         0.26553935]
 [0.02976695 0.         0.         0.58964953 0.38058352]
 [0.17299019 0.         0.         0.82700981 0.        ]
 [1.         0.         0.         0.         0.        ]
 [0.         0.55585789 0.04936816 0.39477395 0.        ]]",-11.128113741165883,0.2944443587892719
13,"[[0.         0.06291179 0.         0.02229443 0.1846202 ]
 [0.         0.         0.         0.10747485 0.81047374]
 [0.         0.         0.         0.         0.75303352]
 [0.66276665 0.29121004 0.         0.         0.04602331]
 [0.19482811 0.         0.         0.         0.        ]]",-11.06916231017213,0.29947452887708403
14,"[[0.         0.         0.28241283 0.         0.        ]
 [0.         0.         0.10976271 0.44511864 0.44511864]
 [0.         0.89469463 0.         0.         0.10530537]
 [0.42531142 0.57468858 0.         0.         0.        ]
 [0.         0.70058465 0.         0.         0.        ]]",-11.178308499611175,0.2944443587892719
15,"[[0.         0.27876818 0.26763967 0.32797171 0.12562044]
 [0.48856185 0.         0.48856185 0.         0.02287631]
 [0.         0.         0.         0.60358953 0.        ]
 [0.16445209 0.06530591 0.44785869 0.         0.32238331]
 [0.         0.         0.         0.15016244 0.        ]]",-11.11130966803691,0.294362223265658
16,"[[0.         0.12974074 0.         0.         0.        ]
 [0.         0.         0.         0.07700798 0.92299202]
 [0.5        0.         0.         0.5        0.        ]
 [0.         0.83919134 0.16080866 0.         0.        ]
 [0.         0.51818097 0.         0.         0.        ]]",-11.066326310863724,0.294280087742044
